# TimeStamp(s) InactiveWorker YieldingWorker RunningWorker
# place(0)
0 8 0 0
0.00772261 7 0 1
0.007884296 7 1 0
0.007912171 6 1 1
0.008029151 5 1 2
0.008135373 4 1 3
0.008170298 3 1 4
0.008179695 2 1 5
0.008250376 1 1 6
0.008277809 0 1 7
0.009206905 1 1 6
0.009215881 2 1 5
0.009311998 1 1 6
0.009320774 2 1 5
0.009333468 1 1 6
0.009380064 2 1 5
0.009392083 1 1 6
0.009394052 2 1 5
0.009392493 3 1 4
0.009392774 4 1 3
0.009392761 5 1 2
0.009400907 6 1 1
0.009456129 7 1 0
0.012975136 8 0 0
0.013090957 8 1 -1
0.013114876 7 1 0
0.013216139 6 1 1
0.013283429 5 1 2
0.013308552 4 1 3
0.013326309 3 1 4
0.013368745 2 1 5
0.01338021 1 1 6
0.01354947 2 1 5
0.01355653 3 1 4
0.013584288 4 1 3
0.01365495 5 1 2
0.013656341 4 1 3
0.013641646 5 1 2
0.013663459 6 1 1
0.013668223 5 1 2
0.013677583 6 1 1
0.013697574 7 1 0
0.013704719 8 1 -1
0.01818112 9 0 -1
0.018274069 9 1 -2
0.01828401 8 1 -1
0.018399727 7 1 0
0.018451044 6 1 1
0.018485641 5 1 2
0.018515564 4 1 3
0.018529294 5 1 2
0.018544356 4 1 3
0.018546009 5 1 2
0.018571115 4 1 3
0.018596255 5 1 2
0.018592465 4 1 3
0.018607934 3 1 4
0.01861086 2 1 5
0.018610862 3 1 4
0.018625442 4 1 3
0.018627413 5 1 2
0.018633228 6 1 1
0.01863366 7 1 0
0.018633657 8 1 -1
0.018652396 9 1 -2
0.023411261 10 0 -2
0.023514592 10 1 -3
0.023543179 9 1 -2
0.023655991 8 1 -1
0.023772606 9 1 -2
0.023773185 8 1 -1
0.023773179 7 1 0
0.023786611 6 1 1
0.023812678 7 1 0
0.023814134 8 1 -1
0.023861128 9 1 -2
0.023871663 10 1 -3
0.028624214 11 0 -3
0.028706306 11 1 -4
0.028755729 10 1 -3
0.028835912 9 1 -2
0.028845295 10 1 -3
0.028869511 11 1 -4
0.033808843 12 0 -4
0.033896369 12 1 -5
0.033947177 11 1 -4
0.034008251 12 1 -5
0.038998153 13 0 -5
0.039556089 14 0 -6
0.048157057 14 0 -6


# place(1)
0 8 0 0
0.048157057 8 0 0


# place(2)
0 8 0 0
0.048157057 8 0 0


# place(3)
0 8 0 0
0.048157057 8 0 0


