Starting process <0> on on <harp>
Init; 4948.32534 ms
Iter 0; 1118.205335 ms
Iter 1; 924.183321 ms
Iter 2; 958.330844 ms
Iter 3; 653.501571 ms
Iter 4; 621.126424 ms
Iter 5; 789.743284 ms
Iter 6; 607.227705 ms
Iter 7; 629.129106 ms
Iter 8; 628.306525 ms
Iter 9; 12165.577213 ms
Iter 10; 631.004185 ms
Iter 11; 636.208603 ms
Iter 12; 650.756402 ms
Iter 13; 657.285566 ms
Iter 14; 672.613692 ms
Iter 15; 721.389276 ms
Iter 16; 792.929817 ms
Iter 17; 761.618396 ms
Iter 18; 722.85936 ms
Iter 19; 706.962836 ms
Iter 20; 710.819851 ms
Iter 21; 737.881804 ms
Iter 22; 782.791772 ms
Iter 23; 809.673499 ms
Iter 24; 783.901311 ms
Iter 25; 721.660642 ms
Iter 26; 718.012939 ms
Iter 27; 729.486769 ms
Iter 28; 734.715678 ms
Iter 29; 745.819521 ms
