Starting process <0> on on <harp>
Init; 5207.905023 ms
Iter 0; 1363.883168 ms
Iter 1; 570.667253 ms
Iter 2; 621.602947 ms
Iter 3; 802.081562 ms
Iter 4; 719.091286 ms
Iter 5; 775.047036 ms
Iter 6; 594.793263 ms
Iter 7; 763.276347 ms
Iter 8; 648.92788 ms
Iter 9; 11991.176312 ms
Iter 10; 656.29436 ms
Iter 11; 630.54643 ms
Iter 12; 664.018757 ms
Iter 13; 666.727018 ms
Iter 14; 656.49259 ms
Iter 15; 701.559033 ms
Iter 16; 672.510802 ms
Iter 17; 676.250668 ms
Iter 18; 753.708386 ms
Iter 19; 745.184331 ms
Iter 20; 695.680385 ms
Iter 21; 697.387455 ms
Iter 22; 699.030161 ms
Iter 23; 703.986059 ms
Iter 24; 715.380715 ms
Iter 25; 687.506881 ms
Iter 26; 704.231077 ms
Iter 27; 705.585615 ms
Iter 28; 713.068824 ms
Iter 29; 720.726756 ms
