Starting process <0> on on <harp>
Init; 4603.792923 ms
Iter 0; 15664.586324 ms
Iter 1; 4251.817262 ms
Iter 2; 3967.570961 ms
Iter 3; 3724.128389 ms
Iter 4; 3738.439045 ms
Iter 5; 3660.492441 ms
Iter 6; 3770.07929 ms
Iter 7; 3409.460593 ms
Iter 8; 3288.309372 ms
Iter 9; 3432.30623 ms
Iter 10; 3415.134384 ms
Iter 11; 3677.871121 ms
Iter 12; 3578.044789 ms
Iter 13; 3605.173869 ms
Iter 14; 3510.219319 ms
Iter 15; 3365.096366 ms
Iter 16; 3521.195619 ms
Iter 17; 3296.169921 ms
Iter 18; 3309.807035 ms
Iter 19; 3472.859226 ms
Iter 20; 3475.218848 ms
Iter 21; 3582.953955 ms
Iter 22; 3693.906859 ms
Iter 23; 3599.965387 ms
Iter 24; 3718.873673 ms
Iter 25; 3455.905934 ms
Iter 26; 3361.563621 ms
Iter 27; 3676.663284 ms
Iter 28; 3591.967664 ms
Iter 29; 3627.194928 ms
