Starting process <0> on on <c0115.ofp>
Init; 37896.778714 ms
Iter 0; 896.891673 ms
Iter 1; 218.294153 ms
Iter 2; 213.185221 ms
Iter 3; 210.234371 ms
Iter 4; 166.961941 ms
Iter 5; 172.496009 ms
Iter 6; 172.623369 ms
Iter 7; 258.519363 ms
Iter 8; 179.98639 ms
Iter 9; 178.943122 ms
Iter 10; 176.625962 ms
Iter 11; 172.595492 ms
Iter 12; 183.360818 ms
Iter 13; 179.440568 ms
Iter 14; 174.001145 ms
Iter 15; 381.567412 ms
Iter 16; 180.492951 ms
Iter 17; 197.842303 ms
Iter 18; 194.206869 ms
Iter 19; 190.441705 ms
Iter 20; 188.363682 ms
Iter 21; 191.733347 ms
Iter 22; 206.238928 ms
Iter 23; 202.480912 ms
Iter 24; 203.304904 ms
Iter 25; 184.35273 ms
Iter 26; 190.790016 ms
Iter 27; 203.231566 ms
Iter 28; 751.741655 ms
Iter 29; 210.811304 ms
