Starting process <0> on on <c0055.ofp>
Init; 38136.179431 ms
Iter 0; 1701.359821 ms
Iter 1; 1130.663357 ms
Iter 2; 450.109052 ms
Iter 3; 1111.480803 ms
Iter 4; 459.663784 ms
Iter 5; 985.084562 ms
Iter 6; 471.126309 ms
Iter 7; 1166.65756 ms
Iter 8; 456.502886 ms
Iter 9; 764.083808 ms
Iter 10; 467.6294 ms
Iter 11; 1109.612403 ms
Iter 12; 476.815664 ms
Iter 13; 462.519754 ms
Iter 14; 938.985261 ms
Iter 15; 643.293512 ms
Iter 16; 1120.049571 ms
Iter 17; 457.409145 ms
Iter 18; 449.900489 ms
Iter 19; 459.445628 ms
Iter 20; 1106.039965 ms
Iter 21; 481.695966 ms
Iter 22; 481.021267 ms
Iter 23; 1113.74378 ms
Iter 24; 471.497815 ms
Iter 25; 468.322775 ms
Iter 26; 485.953265 ms
Iter 27; 1007.467358 ms
Iter 28; 478.829297 ms
Iter 29; 490.490035 ms
