Starting process <0> on on <c0289.ofp>
Round ; Elapsed Time (ms); h0 trees; h0 nodes; 
Round 0; 5272.944963; 10000; 1.3653042E7; 
Round 1; 4891.00995; 10000; 1.3669047E7; 
Round 2; 5011.826433; 10000; 1.3877641E7; 
Round 3; 4880.119294; 10000; 1.3689371E7; 
Round 4; 4831.879849; 10000; 1.3555739E7; 
Round 5; 4829.818087; 10000; 1.3583056E7; 
Round 6; 4828.158596; 10000; 1.3550416E7; 
Round 7; 4823.537472; 10000; 1.35861E7; 
Round 8; 4931.110778; 10000; 1.383103E7; 
Round 9; 4872.313936; 10000; 1.3678628E7; 
