Starting process <0> on on <c0273.ofp>
Round ; Elapsed Time (ms); h0 trees; h0 nodes; 
Round 0; 5243.656205; 10000; 1.3653042E7; 
Round 1; 4975.981985; 10000; 1.3669047E7; 
Round 2; 4933.003421; 10000; 1.3877641E7; 
Round 3; 4884.849122; 10000; 1.3689371E7; 
Round 4; 4887.052293; 10000; 1.3555739E7; 
Round 5; 4862.853984; 10000; 1.3583056E7; 
Round 6; 4822.527746; 10000; 1.3550416E7; 
Round 7; 4842.359947; 10000; 1.35861E7; 
Round 8; 4938.173732; 10000; 1.383103E7; 
Round 9; 4882.870858; 10000; 1.3678628E7; 
