Starting process <0> on on <c1614.ofp>
Starting process <2> on on <c1616.ofp>
Starting process <3> on on <c1617.ofp>
Starting process <1> on on <c1615.ofp>
Round ; Elapsed Time (ms); h0local trees; h0 trees; h1 trees; h2 trees; h3 trees; h0local nodes; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 13237.312546; 20000; 25127; 25027; 24897; 24949; 5080000.0; 2.163781127E9; 2.183500111E9; 2.208740948E9; 2.192515594E9; 
Round 1; 13032.01215; 20000; 25183; 24932; 24909; 24976; 1.888E7; 2.1926846E9; 2.178407642E9; 2.165597054E9; 2.132121278E9; 
Round 2; 11765.701326; 20000; 25199; 24902; 24929; 24970; 120000.0; 2.192251119E9; 2.20384115E9; 2.141611067E9; 2.199709788E9; 
Round 3; 11901.415471; 20000; 25356; 24902; 24849; 24893; 5080000.0; 2.209527816E9; 2.174250968E9; 2.174884431E9; 2.179608036E9; 
Round 4; 13355.044732; 20000; 25047; 24997; 24961; 24995; 3.2E8; 2.192893406E9; 2.154010568E9; 2.212594338E9; 2.183633601E9; 
Round 5; 12439.770262; 20000; 25127; 24994; 24861; 25018; 120000.0; 2.218885388E9; 2.230044233E9; 2.139740139E9; 2.153913047E9; 
Round 6; 12648.050344; 20000; 25189; 24804; 24894; 25113; 7.974E7; 2.187838344E9; 2.18673352E9; 2.187455293E9; 2.186438267E9; 
Round 7; 12080.011572; 20000; 25201; 24807; 24891; 25101; 5080000.0; 2.222580409E9; 2.191433452E9; 2.16041881E9; 2.219864718E9; 
Round 8; 12035.572604; 20000; 25221; 24804; 24891; 25084; 1300000.0; 2.223648455E9; 2.172927906E9; 2.203004329E9; 2.184442614E9; 
Round 9; 11910.702301; 20000; 25230; 24801; 24894; 25075; 1.888E7; 2.230564166E9; 2.19098682E9; 2.163639679E9; 2.198292886E9; 
Round 10; 11929.61096; 20000; 25381; 24798; 24807; 25014; 1300000.0; 2.192893416E9; 2.172895772E9; 2.156485317E9; 2.17089265E9; 
Round 11; 11956.804793; 20000; 25381; 24798; 24807; 25014; 120000.0; 2.264410697E9; 2.16484351E9; 2.180806937E9; 2.197265873E9; 
Round 12; 11760.002432; 20000; 25381; 24801; 24804; 25014; 1300000.0; 2.244262943E9; 2.177938043E9; 2.168865234E9; 2.187229783E9; 
Round 13; 11546.435381; 20000; 25393; 24801; 24795; 25011; 120000.0; 2.209287458E9; 2.166471874E9; 2.152356586E9; 2.177049913E9; 
Round 14; 11904.689117; 20000; 25393; 24801; 24795; 25011; 7.974E7; 2.236191561E9; 2.172662112E9; 2.141989792E9; 2.1630908E9; 
