Starting process <2> on on <c2373.ofp>
Starting process <0> on on <c2371.ofp>
Starting process <1> on on <c2372.ofp>
Starting process <3> on on <c2374.ofp>
Round ; Elapsed Time (ms); h0local trees; h0 trees; h1 trees; h2 trees; h3 trees; h0local nodes; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 4762.318955; 20000; 25128; 24931; 24924; 25017; 7.974E7; 5.40506771E8; 5.4755988E8; 5.53623173E8; 5.45472813E8; 
Round 1; 3583.279633; 20000; 25194; 24991; 24978; 24837; 120000.0; 5.48623473E8; 5.33183904E8; 5.42901463E8; 5.42534998E8; 
Round 2; 2982.155909; 20000; 25194; 24991; 24978; 24837; 120000.0; 5.47966676E8; 5.50266744E8; 5.36855079E8; 5.49223948E8; 
Round 3; 3149.500754; 20000; 25194; 24991; 24978; 24837; 1.888E7; 5.49499657E8; 5.46827749E8; 5.45833934E8; 5.42325982E8; 
Round 4; 3091.967228; 0; 25194; 24991; 24978; 24837; 0.0; 5.52176679E8; 5.46359135E8; 5.53518857E8; 5.3370067E8; 
Round 5; 3177.518272; 0; 25194; 24997; 24978; 24831; 0.0; 5.55602093E8; 5.38628828E8; 5.37214876E8; 5.54097075E8; 
Round 6; 3156.70135; 0; 25197; 24997; 24984; 24822; 0.0; 5.47349117E8; 5.44826302E8; 5.48529111E8; 5.46318524E8; 
Round 7; 3127.961396; 0; 25197; 25000; 24984; 24819; 0.0; 5.55314136E8; 5.52855235E8; 5.41924914E8; 5.48546033E8; 
Round 8; 3249.798258; 20000; 25341; 25044; 24881; 24734; 7.974E7; 5.59622753E8; 5.45005136E8; 5.49621471E8; 5.41750281E8; 
Round 9; 3073.014326; 20000; 25341; 25044; 24881; 24734; 5080000.0; 5.61047562E8; 5.48116845E8; 5.39750988E8; 5.46927489E8; 
Round 10; 3345.228823; 20000; 25358; 24971; 24907; 24764; 1300000.0; 5.47611812E8; 5.41380578E8; 5.41621549E8; 5.42650678E8; 
Round 11; 3133.928206; 20000; 25358; 24968; 24907; 24767; 1.888E7; 5.64931221E8; 5.49573768E8; 5.47039924E8; 5.40328026E8; 
Round 12; 3127.621395; 20000; 25376; 24878; 24918; 24828; 5080000.0; 5.60014383E8; 5.43890723E8; 5.44442545E8; 5.46231653E8; 
Round 13; 2955.43936; 20000; 25376; 24878; 24918; 24828; 5080000.0; 5.51813579E8; 5.41978201E8; 5.39976216E8; 5.42565618E8; 
Round 14; 3012.348554; 20000; 25379; 24875; 24918; 24828; 5080000.0; 5.57925299E8; 5.39200286E8; 5.38640891E8; 5.42652025E8; 
