Starting process <3> on on <c0585.ofp>
Starting process <1> on on <c0519.ofp>
Starting process <0> on on <c0240.ofp>
Starting process <2> on on <c0584.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 59600.828401; 403; 400; 397; 400; 2.11529476E9; 2.243309623E9; 2.271129387E9; 2.452736215E9; 
Round 1; 59386.590196; 442; 397; 369; 392; 2.266783236E9; 2.123148581E9; 2.091145312E9; 2.126372989E9; 
Round 2; 110946.746309; 470; 432; 384; 314; 2.419748096E9; 2.347527671E9; 2.063137928E9; 1.846931973E9; 
Round 3; 92211.967405; 474; 436; 378; 312; 2.495584334E9; 2.528160067E9; 2.000494293E9; 1.585932299E9; 
Round 4; 101628.363259; 479; 434; 379; 308; 2.65147375E9; 2.508779196E9; 2.215823296E9; 1.604731481E9; 
Round 5; 80419.67967; 480; 442; 375; 303; 2.532064807E9; 2.521230715E9; 2.2796009E9; 1.645919591E9; 
Round 6; 127442.860551; 461; 460; 370; 309; 2.373035357E9; 2.668816912E9; 2.028734102E9; 1.666345791E9; 
Round 7; 108617.608783; 427; 461; 400; 312; 2.378165958E9; 2.581480184E9; 2.140074109E9; 1.80071829E9; 
Round 8; 99584.418139; 432; 457; 398; 313; 2.65107823E9; 2.832937522E9; 2.339366449E9; 1.709603314E9; 
Round 9; 104516.489305; 427; 459; 404; 310; 2.217154432E9; 2.580946774E9; 2.1689008E9; 1.803626342E9; 
Round 10; 123632.923531; 382; 416; 408; 394; 2.213989373E9; 2.476138832E9; 2.135569015E9; 2.169788054E9; 
Round 11; 128020.814109; 381; 407; 409; 403; 2.127107471E9; 2.276793125E9; 2.404893689E9; 2.105066672E9; 
Round 12; 121429.523064; 392; 414; 397; 397; 1.987444219E9; 2.446491302E9; 2.149389877E9; 2.284435516E9; 
Round 13; 126334.38006; 400; 449; 351; 400; 1.988413908E9; 2.260854934E9; 1.899817249E9; 2.357137034E9; 
Round 14; 144247.482959; 367; 473; 326; 434; 1.927291806E9; 2.783581761E9; 1.935502053E9; 2.124866345E9; 
