Starting process <2> on on <c0588.ofp>
Starting process <0> on on <c0586.ofp>
Starting process <1> on on <c0587.ofp>
Starting process <3> on on <c0589.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 80483.511158; 2500; 2500; 2500; 2500; 2.20900908E8; 2.07133441E8; 2.1923174E8; 2.25505792E8; 
Round 1; 79822.847886; 2500; 2500; 2500; 2500; 2.24785226E8; 2.19974228E8; 2.1455452E8; 2.14874588E8; 
Round 2; 79599.986498; 2500; 2500; 2500; 2500; 2.23917468E8; 2.2067831E8; 2.2382869E8; 2.21103718E8; 
Round 3; 80945.628833; 2500; 2500; 2500; 2500; 2.17594417E8; 2.10393829E8; 2.27907222E8; 2.2042187E8; 
Round 4; 80989.220942; 2500; 2500; 2500; 2500; 2.16778156E8; 2.1156453E8; 2.11068249E8; 2.28403119E8; 
Round 5; 78748.255851; 2500; 2500; 2500; 2500; 2.21371768E8; 2.1638507E8; 2.21895641E8; 2.09987488E8; 
Round 6; 77160.528758; 2500; 2500; 2500; 2500; 2.17735017E8; 2.18035364E8; 2.14492731E8; 2.17550231E8; 
Round 7; 77760.722833; 2500; 2500; 2500; 2500; 2.19338539E8; 2.15622957E8; 2.17853296E8; 2.16359531E8; 
Round 8; 79628.85995; 2500; 2500; 2500; 2500; 2.24538258E8; 2.16123365E8; 2.20975656E8; 2.23661214E8; 
Round 9; 79591.526034; 2500; 2500; 2500; 2500; 2.11655065E8; 2.2179284E8; 2.24061183E8; 2.18333951E8; 
Round 10; 79564.968362; 2500; 2500; 2500; 2500; 2.15461904E8; 2.2368825E8; 2.23924012E8; 2.05241248E8; 
Round 11; 79724.281373; 2500; 2500; 2500; 2500; 2.12874645E8; 2.17840175E8; 2.24251207E8; 2.17116531E8; 
Round 12; 79315.570992; 2500; 2500; 2500; 2500; 2.23877445E8; 2.15794192E8; 2.19177978E8; 2.17729885E8; 
Round 13; 80101.137409; 2500; 2500; 2500; 2500; 2.10932179E8; 2.15401736E8; 2.25563738E8; 2.17536523E8; 
Round 14; 76722.011904; 2500; 2500; 2500; 2500; 2.11359495E8; 2.12830394E8; 2.15523733E8; 2.15762444E8; 
