Starting process <0> on on <c0721.ofp>
Starting process <2> on on <c0723.ofp>
Starting process <1> on on <c0722.ofp>
Starting process <3> on on <c0724.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 2673.503362; 25000; 25000; 25000; 25000; 1.37159907E8; 1.36298718E8; 1.37105042E8; 1.36278051E8; 
Round 1; 2369.034269; 24968; 23807; 25450; 25775; 1.34707121E8; 1.29280259E8; 1.3811706E8; 1.39724428E8; 
Round 2; 2269.442307; 24916; 23207; 25825; 26052; 1.36527346E8; 1.2754622E8; 1.40033012E8; 1.41924609E8; 
Round 3; 2354.954243; 25323; 23087; 25425; 26165; 1.3862463E8; 1.24975576E8; 1.3776367E8; 1.44717774E8; 
Round 4; 3831.512872; 25410; 24344; 24144; 26102; 1.40070278E8; 1.34158391E8; 1.32089345E8; 1.40093203E8; 
Round 5; 2556.771214; 26032; 23641; 24444; 25883; 1.43046524E8; 1.28481387E8; 1.33419944E8; 1.41429524E8; 
Round 6; 2765.283238; 25659; 23577; 24729; 26035; 1.40691534E8; 1.29279056E8; 1.35904655E8; 1.40826036E8; 
Round 7; 2800.803918; 25441; 23635; 24627; 26297; 1.39298071E8; 1.3062177E8; 1.35312298E8; 1.44426458E8; 
Round 8; 3013.200053; 25378; 23459; 25006; 26157; 1.38912603E8; 1.29604712E8; 1.37046676E8; 1.43428232E8; 
Round 9; 4196.23707; 25444; 23635; 24994; 25927; 1.40314273E8; 1.29220915E8; 1.37310727E8; 1.42082908E8; 
Round 10; 2848.852554; 25307; 23308; 24919; 26466; 1.37180472E8; 1.25758613E8; 1.37919216E8; 1.42474105E8; 
Round 11; 2989.637743; 25413; 23512; 24570; 26505; 1.38741995E8; 1.29539848E8; 1.3688065E8; 1.45264624E8; 
Round 12; 3805.590464; 25712; 23349; 25371; 25568; 1.40054452E8; 1.28029086E8; 1.39068227E8; 1.41460019E8; 
Round 13; 4072.108259; 25650; 22500; 25837; 26013; 1.38527734E8; 1.2232033E8; 1.40944708E8; 1.42291991E8; 
Round 14; 3960.541394; 26250; 21507; 26238; 26005; 1.41558581E8; 1.16506062E8; 1.43101416E8; 1.43401657E8; 
