Starting process <1> on on <c0984.ofp>
Starting process <2> on on <c0985.ofp>
Starting process <0> on on <c0983.ofp>
Starting process <3> on on <c0986.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 2158.376852; 25374; 25066; 24741; 24819; 1.39236834E8; 1.3751564E8; 1.34877657E8; 1.35211587E8; 
Round 1; 794.282031; 25374; 25066; 24741; 24819; 1.35281228E8; 1.37095713E8; 1.33428577E8; 1.3602335E8; 
Round 2; 1186.869307; 25535; 24701; 24846; 24918; 1.3916374E8; 1.33907489E8; 1.37092747E8; 1.35867211E8; 
Round 3; 849.807101; 25519; 24705; 24854; 24922; 1.39303278E8; 1.35341964E8; 1.33653247E8; 1.37783161E8; 
Round 4; 809.260343; 25519; 24701; 24854; 24926; 1.40194571E8; 1.34306409E8; 1.3652657E8; 1.35383667E8; 
Round 5; 891.366938; 25481; 24719; 24874; 24926; 1.37687112E8; 1.35561515E8; 1.35695284E8; 1.37433468E8; 
Round 6; 800.477182; 25481; 24719; 24874; 24926; 1.38839669E8; 1.3481451E8; 1.36164836E8; 1.36882266E8; 
Round 7; 792.08165; 25481; 24719; 24874; 24926; 1.38849854E8; 1.37511435E8; 1.3664209E8; 1.36655218E8; 
Round 8; 853.940492; 25467; 24721; 24880; 24932; 1.39802603E8; 1.35333244E8; 1.37576774E8; 1.36279602E8; 
Round 9; 833.84349; 25462; 24716; 24883; 24939; 1.3888689E8; 1.34556279E8; 1.37335855E8; 1.38149799E8; 
Round 10; 848.824134; 25457; 24702; 24896; 24945; 1.36921015E8; 1.35475598E8; 1.36550828E8; 1.34384965E8; 
Round 11; 823.213472; 25449; 24702; 24901; 24948; 1.40420033E8; 1.36373737E8; 1.36699803E8; 1.36933544E8; 
Round 12; 1040.268573; 25318; 24751; 24937; 24994; 1.3850316E8; 1.35774746E8; 1.36486657E8; 1.37847221E8; 
Round 13; 817.688733; 25313; 24751; 24939; 24997; 1.38407818E8; 1.32817148E8; 1.37748126E8; 1.35111671E8; 
Round 14; 842.058236; 25213; 24753; 24939; 25095; 1.38027668E8; 1.34771466E8; 1.36939949E8; 1.34828633E8; 
