Starting process <3> on on <c1869.ofp>
Starting process <2> on on <c1868.ofp>
Starting process <0> on on <c1866.ofp>
Starting process <1> on on <c1867.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 2902.876841; 25000; 25075; 25000; 24925; 1.37159907E8; 1.3670013E8; 1.36298718E8; 1.36682963E8; 
Round 1; 2005.660869; 25000; 25075; 25000; 24925; 1.33464245E8; 1.37208657E8; 1.34845477E8; 1.36310489E8; 
Round 2; 1993.681042; 25000; 25075; 25000; 24925; 1.36336853E8; 1.36672701E8; 1.37889409E8; 1.35132224E8; 
Round 3; 1960.235585; 25000; 25075; 25000; 24925; 1.36519346E8; 1.38575182E8; 1.34400682E8; 1.3658644E8; 
Round 4; 1990.400729; 25000; 25075; 25000; 24925; 1.37116486E8; 1.36229336E8; 1.37596754E8; 1.35468641E8; 
Round 5; 1992.353982; 25000; 25075; 25000; 24925; 1.35097211E8; 1.38303526E8; 1.36193174E8; 1.36783468E8; 
Round 6; 1993.957259; 25000; 25075; 25000; 24925; 1.36555795E8; 1.37448332E8; 1.36880905E8; 1.35816249E8; 
Round 7; 2025.703096; 25000; 25075; 25000; 24925; 1.36186434E8; 1.37517497E8; 1.37185403E8; 1.38769263E8; 
Round 8; 2150.706481; 25000; 25075; 25000; 24925; 1.3711382E8; 1.36957583E8; 1.3821442E8; 1.367064E8; 
Round 9; 1962.386159; 25000; 25075; 25000; 24925; 1.3625307E8; 1.38940178E8; 1.37881707E8; 1.35853868E8; 
Round 10; 1960.497983; 25000; 25075; 25000; 24925; 1.34432882E8; 1.3506565E8; 1.3735234E8; 1.36481534E8; 
Round 11; 2013.910975; 25000; 25075; 25000; 24925; 1.37987874E8; 1.37539049E8; 1.3705294E8; 1.37847254E8; 
Round 12; 1995.934894; 25000; 25075; 25000; 24925; 1.37367449E8; 1.37944608E8; 1.36440607E8; 1.3685912E8; 
Round 13; 2028.053884; 25000; 25075; 25000; 24925; 1.36447166E8; 1.3555451E8; 1.38127421E8; 1.33955666E8; 
Round 14; 1962.92412; 25000; 25075; 25000; 24925; 1.36895664E8; 1.34774508E8; 1.37207849E8; 1.35689695E8; 
