Starting process <2> on on <c2275.ofp>
Starting process <0> on on <c2273.ofp>
Starting process <3> on on <c2276.ofp>
Starting process <1> on on <c2274.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 3403.683939; 34000; 19600; 23150; 23250; 1.84489096E8; 1.08281568E8; 1.26340791E8; 1.27730263E8; 
Round 1; 2217.530791; 34000; 19725; 23150; 23125; 1.84121702E8; 1.06382404E8; 1.26178911E8; 1.25145851E8; 
Round 2; 2138.190324; 33925; 19725; 23225; 23125; 1.85418096E8; 1.05679886E8; 1.27777511E8; 1.27155694E8; 
Round 3; 2144.818494; 33925; 19725; 23225; 23125; 1.85604115E8; 1.08675384E8; 1.25993395E8; 1.25808756E8; 
Round 4; 2135.514441; 33925; 19725; 23225; 23125; 1.84931459E8; 1.06772424E8; 1.28818594E8; 1.2588874E8; 
Round 5; 2215.821573; 33925; 19725; 23225; 23125; 1.86209535E8; 1.08118188E8; 1.26082077E8; 1.25967579E8; 
Round 6; 2249.235415; 33850; 19725; 23225; 23200; 1.84204804E8; 1.08488209E8; 1.25573101E8; 1.28435167E8; 
Round 7; 2137.881286; 33850; 19725; 23225; 23200; 1.85536346E8; 1.09465603E8; 1.26087611E8; 1.28569037E8; 
Round 8; 2093.177676; 33850; 19725; 23225; 23200; 1.8566196E8; 1.06849365E8; 1.27915217E8; 1.28565681E8; 
Round 9; 2136.368239; 33850; 19725; 23225; 23200; 1.85481875E8; 1.08235864E8; 1.27499914E8; 1.2771117E8; 
Round 10; 2185.927652; 33775; 19725; 23300; 23200; 1.83226129E8; 1.07020847E8; 1.26878535E8; 1.26206895E8; 
Round 11; 2143.650638; 33775; 19725; 23300; 23200; 1.85744086E8; 1.0880035E8; 1.28263866E8; 1.27618815E8; 
Round 12; 2139.376464; 33775; 19850; 23300; 23075; 1.85236548E8; 1.09065144E8; 1.28631893E8; 1.25678199E8; 
Round 13; 2100.271259; 33775; 19850; 23300; 23075; 1.84998753E8; 1.0727455E8; 1.26683775E8; 1.25127685E8; 
Round 14; 2057.43875; 33775; 19850; 23300; 23075; 1.84523853E8; 1.10007962E8; 1.27180644E8; 1.22855257E8; 
