Starting process <0> on on <c1602.ofp>
Starting process <1> on on <c1603.ofp>
Starting process <3> on on <c1605.ofp>
Starting process <2> on on <c1604.ofp>
Round ; Elapsed Time (ms); h0local trees; h0 trees; h1 trees; h2 trees; h3 trees; h0local nodes; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 12675.050153; 20000; 25000; 25000; 25000; 25000; 5080000.0; 2.151153732E9; 2.180919037E9; 2.196699369E9; 2.219765642E9; 
Round 1; 12042.771601; 20000; 25000; 25000; 25000; 25000; 1.888E7; 2.17477205E9; 2.184228918E9; 2.134698683E9; 2.175110923E9; 
Round 2; 11875.294389; 20000; 25000; 25000; 25000; 25000; 120000.0; 2.173415332E9; 2.21145846E9; 2.203089244E9; 2.149450088E9; 
Round 3; 12323.165645; 20000; 25000; 25000; 25000; 25000; 5080000.0; 2.180087308E9; 2.182340581E9; 2.188940335E9; 2.186903027E9; 
Round 4; 12843.264696; 20000; 25000; 25000; 25000; 25000; 3.2E8; 2.188426792E9; 2.152400883E9; 2.185371378E9; 2.21693286E9; 
Round 5; 12335.156756; 20000; 25000; 25000; 25000; 25000; 120000.0; 2.204717506E9; 2.233091666E9; 2.154436219E9; 2.150337416E9; 
Round 6; 12972.566165; 20000; 25000; 25000; 25000; 25000; 7.974E7; 2.174306794E9; 2.199792938E9; 2.178307317E9; 2.196058375E9; 
Round 7; 11994.925392; 20000; 25000; 25000; 25000; 25000; 5080000.0; 2.207218086E9; 2.208678328E9; 2.210462181E9; 2.167938794E9; 
Round 8; 11750.77576; 20000; 25000; 25000; 25000; 25000; 1300000.0; 2.209034135E9; 2.189230746E9; 2.176058441E9; 2.209699982E9; 
Round 9; 12015.744142; 20000; 25000; 25000; 25000; 25000; 1.888E7; 2.215033776E9; 2.208675386E9; 2.19041415E9; 2.169360239E9; 
Round 10; 11889.082259; 20000; 25000; 25000; 25000; 25000; 1300000.0; 2.158043419E9; 2.190379539E9; 2.167900084E9; 2.176844113E9; 
Round 11; 12062.359479; 20000; 25000; 25000; 25000; 25000; 120000.0; 2.226795715E9; 2.182602E9; 2.200668051E9; 2.197261251E9; 
Round 12; 11721.737267; 20000; 25000; 25000; 25000; 25000; 1300000.0; 2.21149203E9; 2.197190592E9; 2.186339404E9; 2.183273977E9; 
Round 13; 11794.506823; 20000; 25000; 25000; 25000; 25000; 120000.0; 2.173247429E9; 2.183809537E9; 2.178722624E9; 2.169386241E9; 
Round 14; 12068.655738; 20000; 25000; 25000; 25000; 25000; 7.974E7; 2.20028298E9; 2.188861176E9; 2.16620477E9; 2.158585339E9; 
