Starting process <1> on on <c0233.ofp>
Starting process <2> on on <c0235.ofp>
Starting process <0> on on <c0094.ofp>
Starting process <3> on on <c0239.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 59826.229426; 400; 400; 400; 400; 2.099665301E9; 2.286758846E9; 2.452736215E9; 2.243309623E9; 
Round 1; 66301.431545; 400; 400; 400; 400; 2.253809654E9; 2.126296847E9; 1.874771993E9; 2.352571624E9; 
Round 2; 75459.463866; 400; 400; 400; 400; 2.18761093E9; 1.995285697E9; 2.117395051E9; 2.37705399E9; 
Round 3; 102479.36739; 400; 400; 400; 400; 2.300007592E9; 2.019557182E9; 2.029120297E9; 2.261485922E9; 
Round 4; 105055.983807; 400; 400; 400; 400; 2.198179623E9; 2.316813619E9; 2.277715393E9; 2.188099088E9; 
Round 5; 111431.86243; 400; 400; 400; 400; 2.09683726E9; 2.377592946E9; 2.209859626E9; 2.294526181E9; 
Round 6; 109247.383358; 400; 400; 400; 400; 2.171540181E9; 2.25902448E9; 2.173394472E9; 2.132973029E9; 
Round 7; 132104.260036; 400; 400; 400; 400; 2.275395144E9; 2.122196206E9; 2.217153964E9; 2.285693227E9; 
Round 8; 145349.253906; 400; 400; 400; 400; 2.344115919E9; 2.397134795E9; 2.486865288E9; 2.304869513E9; 
Round 9; 157530.663209; 400; 400; 400; 400; 2.360046479E9; 2.061721721E9; 2.259546983E9; 2.089313165E9; 
Round 10; 175268.758502; 400; 400; 400; 400; 2.212858027E9; 2.456219646E9; 2.180443517E9; 2.145964084E9; 
Round 11; 173465.352565; 400; 400; 400; 400; 2.437692898E9; 2.141128443E9; 2.196727977E9; 2.138311639E9; 
Round 12; 192251.454545; 400; 400; 400; 400; 2.363213302E9; 2.160468234E9; 2.109213938E9; 2.23486544E9; 
