Starting process <2> on on <c0235.ofp>
Starting process <3> on on <c0239.ofp>
Starting process <0> on on <c0094.ofp>
Starting process <1> on on <c0233.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 80699.860509; 2500; 2500; 2500; 2500; 2.20900908E8; 2.1923174E8; 2.07133441E8; 2.25505792E8; 
Round 1; 79863.486525; 2500; 2500; 2500; 2500; 2.24785226E8; 2.1455452E8; 2.19974228E8; 2.14874588E8; 
Round 2; 79646.271774; 2500; 2500; 2500; 2500; 2.23917468E8; 2.2382869E8; 2.2067831E8; 2.21103718E8; 
Round 3; 81104.391759; 2500; 2500; 2500; 2500; 2.17594417E8; 2.27907222E8; 2.10393829E8; 2.2042187E8; 
Round 4; 81024.509963; 2500; 2500; 2500; 2500; 2.16778156E8; 2.11068249E8; 2.1156453E8; 2.28403119E8; 
Round 5; 78946.495319; 2500; 2500; 2500; 2500; 2.21371768E8; 2.21895641E8; 2.1638507E8; 2.09987488E8; 
Round 6; 77411.162432; 2500; 2500; 2500; 2500; 2.17735017E8; 2.14492731E8; 2.18035364E8; 2.17550231E8; 
Round 7; 77881.39794; 2500; 2500; 2500; 2500; 2.19338539E8; 2.17853296E8; 2.15622957E8; 2.16359531E8; 
Round 8; 79814.167667; 2500; 2500; 2500; 2500; 2.24538258E8; 2.20975656E8; 2.16123365E8; 2.23661214E8; 
Round 9; 79449.464341; 2500; 2500; 2500; 2500; 2.11655065E8; 2.24061183E8; 2.2179284E8; 2.18333951E8; 
Round 10; 79443.2347; 2500; 2500; 2500; 2500; 2.15461904E8; 2.23924012E8; 2.2368825E8; 2.05241248E8; 
Round 11; 79588.593267; 2500; 2500; 2500; 2500; 2.12874645E8; 2.24251207E8; 2.17840175E8; 2.17116531E8; 
Round 12; 79570.591679; 2500; 2500; 2500; 2500; 2.23877445E8; 2.19177978E8; 2.15794192E8; 2.17729885E8; 
Round 13; 80020.965124; 2500; 2500; 2500; 2500; 2.10932179E8; 2.25563738E8; 2.15401736E8; 2.17536523E8; 
Round 14; 76612.686051; 2500; 2500; 2500; 2500; 2.11359495E8; 2.15523733E8; 2.12830394E8; 2.15762444E8; 
