Starting process <0> on on <c2253.ofp>
Starting process <2> on on <c2255.ofp>
Starting process <1> on on <c2254.ofp>
Starting process <3> on on <c2256.ofp>
Round ; Elapsed Time (ms); h0 trees; h1 trees; h2 trees; h3 trees; h0 nodes; h1 nodes; h2 nodes; h3 nodes; 
Round 0; 2833.600655; 34000; 33000; 33000; 0; 1.84489096E8; 1.80349546E8; 1.82003076E8; 0.0; 
Round 1; 2255.440866; 34000; 33000; 33000; 0; 1.84121702E8; 1.78576432E8; 1.79130734E8; 0.0; 
Round 2; 2232.248168; 34000; 33000; 33000; 0; 1.85878254E8; 1.80296581E8; 1.79856352E8; 0.0; 
Round 3; 2226.538476; 34000; 33000; 33000; 0; 1.86039005E8; 1.79726356E8; 1.80316289E8; 0.0; 
Round 4; 2150.42221; 34000; 33000; 33000; 0; 1.85308309E8; 1.813382E8; 1.79764708E8; 0.0; 
Round 5; 2216.648256; 34000; 33000; 33000; 0; 1.86744729E8; 1.79785724E8; 1.79846926E8; 0.0; 
Round 6; 2257.467159; 34000; 33000; 33000; 0; 1.84893998E8; 1.79306437E8; 1.82500846E8; 0.0; 
Round 7; 2212.682378; 34000; 33000; 33000; 0; 1.86531368E8; 1.80508589E8; 1.8261864E8; 0.0; 
Round 8; 2245.134163; 34000; 33000; 33000; 0; 1.8642267E8; 1.8134266E8; 1.81226893E8; 0.0; 
Round 9; 2127.83224; 34000; 33000; 33000; 0; 1.86311879E8; 1.82105914E8; 1.8051103E8; 0.0; 
Round 10; 2189.8108; 34000; 33000; 33000; 0; 1.84587771E8; 1.79710067E8; 1.79034568E8; 0.0; 
Round 11; 2312.328404; 34000; 33000; 33000; 0; 1.8711741E8; 1.81911466E8; 1.81398241E8; 0.0; 
Round 12; 2270.043854; 34000; 33000; 33000; 0; 1.86603096E8; 1.81736003E8; 1.80272685E8; 0.0; 
Round 13; 2158.454424; 34000; 33000; 33000; 0; 1.86371007E8; 1.79426776E8; 1.7828698E8; 0.0; 
Round 14; 2113.348695; 34000; 33000; 33000; 0; 1.85754735E8; 1.80762907E8; 1.78050074E8; 0.0; 
