Concurrent workers; 68
Granulatiry; 10
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2): thread waiting on operation handist.collections.glb.GlbOperation@5place(3): thread waiting on operation handist.collections.glb.GlbOperation@5

place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(36) stopped --- 5 stopped workers
place(0) worker(37) stopped --- 4 stopped workers
place(0) worker(21) stopped --- 5 stopped workers
place(0) worker(1) stopped --- 3 stopped workers
place(0) worker(62) stopped --- 5 stopped workers
place(0) worker(1) stopped --- 1 stopped workers
place(0) worker(3) stopped --- 0 stopped workers
place(0) worker(0) stopped --- 0 stopped workers
place(0) worker(62) stopped --- 1 stopped workers
place(0) worker(33) stopped --- 18 stopped workers
place(0) worker(43) stopped --- 15 stopped workers
place(0) worker(26) stopped --- 16 stopped workers
place(0) worker(6) stopped --- 13 stopped workers
place(0) worker(13) stopped --- 12 stopped workers
place(0) worker(36) stopped --- 14 stopped workers
place(0) worker(60) stopped --- 16 stopped workers
place(0) worker(64) stopped --- 13 stopped workers
place(0) worker(23) stopped --- 13 stopped workers
place(0) worker(34) stopped --- 12 stopped workers
place(0) worker(40) stopped --- 13 stopped workers
place(0) worker(46) stopped --- 11 stopped workers
place(0) worker(55) stopped --- 11 stopped workers
place(0) worker(27) stopped --- 11 stopped workers
place(0) worker(66) stopped --- 10 stopped workers
place(0) worker(54) stopped --- 12 stopped workers
place(0) worker(16) stopped --- 10 stopped workers
place(0) worker(30) stopped --- 10 stopped workers
place(0) worker(17) stopped --- 14 stopped workers
place(0) worker(20) stopped --- 10 stopped workers
place(0) worker(15) stopped --- 14 stopped workers
place(0) worker(39) stopped --- 13 stopped workers
place(0) worker(31) stopped --- 13 stopped workers
place(0) worker(37) stopped --- 13 stopped workers
place(0) worker(41) stopped --- 22 stopped workers
place(0) worker(42) stopped --- 17 stopped workers
place(0) worker(35) stopped --- 22 stopped workers
place(0) worker(33) stopped --- 15 stopped workers
place(0) worker(50) stopped --- 15 stopped workers
place(0) worker(45) stopped --- 22 stopped workers
place(0) worker(63) stopped --- 22 stopped workers
place(0) worker(53) stopped --- 22 stopped workers
place(0) worker(57) stopped --- 22 stopped workers
place(0) worker(24) stopped --- 22 stopped workers
place(0) worker(14) stopped --- 22 stopped workers
place(0) worker(52) stopped --- 22 stopped workers
place(0) worker(62) stopped --- 23 stopped workers
place(0) worker(28) stopped --- 22 stopped workers
place(0) worker(54) stopped --- 22 stopped workers
place(0) worker(48) stopped --- 22 stopped workers
place(0) worker(18) stopped --- 22 stopped workers
place(0) worker(17) stopped --- 20 stopped workers
place(0) worker(5) stopped --- 19 stopped workers
place(0) worker(32) stopped --- 21 stopped workers
place(0) worker(7) stopped --- 18 stopped workers
place(0) worker(9) stopped --- 18 stopped workers
place(0) worker(42) stopped --- 17 stopped workers
place(0) worker(21) stopped --- 15 stopped workers
place(0) worker(57) stopped --- 30 stopped workers
place(0) worker(49) stopped --- 8 stopped workers
place(0) worker(15) stopped --- 6 stopped workers
place(0) worker(29) stopped --- 5 stopped workers
place(0) worker(63) stopped --- 34 stopped workers
place(0) worker(25) stopped --- 35 stopped workers
place(0) worker(65) stopped --- 5 stopped workers
place(0) worker(44) stopped --- 2 stopped workers
place(0) worker(64) stopped --- 30 stopped workers
place(0) worker(61) stopped --- 0 stopped workers
place(0) worker(8) stopped --- 0 stopped workers
place(0) worker(11) stopped --- 0 stopped workers
place(0) worker(10) stopped --- 0 stopped workers
place(0) worker(58) stopped --- 0 stopped workers
place(0) worker(46) stopped --- 0 stopped workers
place(0) worker(47) stopped --- 0 stopped workers
place(0) worker(51) stopped --- 0 stopped workers
place(0) worker(65) stopped --- 38 stopped workers
place(0) worker(22) stopped --- 2 stopped workers
place(0) worker(39) stopped --- 2 stopped workers
place(0) worker(2) stopped --- 41 stopped workers
place(0) worker(25) stopped --- 0 stopped workers
place(0) worker(2) stopped --- 0 stopped workers
place(0) worker(59) stopped --- 0 stopped workers
place(0) worker(36) stopped --- 43 stopped workers
place(0) worker(12) stopped --- 0 stopped workers
place(0) worker(43) stopped --- 0 stopped workers
place(0) worker(0) stopped --- 43 stopped workers
place(0) worker(59) stopped --- 45 stopped workers
place(0) worker(62) stopped --- 0 stopped workers
place(0) worker(4) stopped --- 0 stopped workers
place(0) worker(7) stopped --- 48 stopped workers
place(0) worker(56) stopped --- 3 stopped workers
place(0) worker(23) stopped --- 48 stopped workers
place(0) worker(58) stopped --- 51 stopped workers
place(0) worker(34) stopped --- 1 stopped workers
place(0) worker(43) stopped --- 52 stopped workers
place(0) worker(67) stopped --- 50 stopped workers
place(0) worker(16) stopped --- 50 stopped workers
place(0) worker(33) stopped --- 47 stopped workers
place(0) worker(18) stopped --- 50 stopped workers
place(0) worker(57) stopped --- 46 stopped workers
place(0) worker(47) stopped --- 50 stopped workers
place(0) worker(20) stopped --- 50 stopped workers
place(0) worker(15) stopped --- 45 stopped workers
place(0) worker(19) stopped --- 44 stopped workers
place(0) worker(61) stopped --- 41 stopped workers
place(0) worker(24) stopped --- 43 stopped workers
place(0) worker(12) stopped --- 42 stopped workers
place(0) worker(30) stopped --- 41 stopped workers
place(0) worker(51) stopped --- 40 stopped workers
place(0) worker(29) stopped --- 40 stopped workers
place(0) worker(11) stopped --- 60 stopped workers
place(0) worker(5) stopped --- 41 stopped workers
place(0) worker(3) stopped --- 41 stopped workers
place(0) worker(17) stopped --- 40 stopped workers
place(0) worker(1) stopped --- 39 stopped workers
place(0) worker(62) stopped --- 37 stopped workers
place(0) worker(49) stopped --- 36 stopped workers
place(0) worker(53) stopped --- 35 stopped workers
place(0) worker(35) stopped --- 35 stopped workers
place(0) worker(42) stopped --- 35 stopped workers
place(0) worker(8) stopped --- 34 stopped workers
place(0) worker(60) stopped --- 33 stopped workers
place(0) worker(19) stopped --- 33 stopped workers
place(0) worker(28) stopped --- 32 stopped workers
place(0) worker(61) stopped --- 32 stopped workers
place(0) worker(22) stopped --- 30 stopped workers
place(0) worker(4) stopped --- 34 stopped workers
place(0) worker(39) stopped --- 33 stopped workers
place(0) worker(5) stopped --- 32 stopped workers
place(0) worker(17) stopped --- 32 stopped workers
place(0) worker(67) stopped --- 31 stopped workers
place(0) worker(13) stopped --- 29 stopped workers
place(0) worker(23) stopped --- 30 stopped workers
place(0) worker(48) stopped --- 29 stopped workers
place(0) worker(16) stopped --- 28 stopped workers
place(0) worker(19) stopped --- 28 stopped workers
place(0) worker(12) stopped --- 27 stopped workers
place(0) worker(30) stopped --- 27 stopped workers
place(0) worker(29) stopped --- 27 stopped workers
place(0) worker(9) stopped --- 24 stopped workers
place(0) worker(20) stopped --- 24 stopped workers
place(0) worker(63) stopped --- 24 stopped workers
place(0) worker(18) stopped --- 23 stopped workers
