Concurrent workers; 68
Granulatiry; 40
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(3): thread waiting on operation handist.collections.glb.GlbOperation@5place(2): thread waiting on operation handist.collections.glb.GlbOperation@5

place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(0) stopped --- 1 stopped workers
place(0) worker(8) stopped --- 3 stopped workers
place(0) worker(20) stopped --- 3 stopped workers
place(0) worker(64) stopped --- 0 stopped workers
place(0) worker(51) stopped --- 0 stopped workers
place(0) worker(62) stopped --- 0 stopped workers
place(0) worker(14) stopped --- 0 stopped workers
place(0) worker(5) stopped --- 0 stopped workers
place(0) worker(48) stopped --- 0 stopped workers
place(0) worker(16) stopped --- 1 stopped workers
place(0) worker(26) stopped --- 15 stopped workers
place(0) worker(21) stopped --- 36 stopped workers
place(0) worker(27) stopped --- 25 stopped workers
place(0) worker(42) stopped --- 28 stopped workers
place(0) worker(8) stopped --- 32 stopped workers
place(0) worker(37) stopped --- 0 stopped workers
place(0) worker(10) stopped --- 41 stopped workers
place(0) worker(43) stopped --- 0 stopped workers
place(0) worker(41) stopped --- 0 stopped workers
place(0) worker(12) stopped --- 44 stopped workers
place(0) worker(33) stopped --- 0 stopped workers
place(0) worker(11) stopped --- 0 stopped workers
place(0) worker(47) stopped --- 2 stopped workers
place(0) worker(15) stopped --- 2 stopped workers
place(0) worker(4) stopped --- 47 stopped workers
place(0) worker(61) stopped --- 50 stopped workers
place(0) worker(26) stopped --- 50 stopped workers
place(0) worker(66) stopped --- 0 stopped workers
place(0) worker(13) stopped --- 0 stopped workers
place(0) worker(63) stopped --- 2 stopped workers
place(0) worker(5) stopped --- 54 stopped workers
place(0) worker(23) stopped --- 1 stopped workers
place(0) worker(43) stopped --- 0 stopped workers
place(0) worker(64) stopped --- 0 stopped workers
place(0) worker(16) stopped --- 56 stopped workers
place(0) worker(45) stopped --- 55 stopped workers
place(0) worker(2) stopped --- 54 stopped workers
place(0) worker(47) stopped --- 54 stopped workers
place(0) worker(13) stopped --- 57 stopped workers
place(0) worker(56) stopped --- 54 stopped workers
place(0) worker(41) stopped --- 53 stopped workers
place(0) worker(25) stopped --- 52 stopped workers
place(0) worker(24) stopped --- 50 stopped workers
place(0) worker(55) stopped --- 47 stopped workers
place(0) worker(58) stopped --- 54 stopped workers
place(0) worker(50) stopped --- 45 stopped workers
place(0) worker(64) stopped --- 46 stopped workers
place(0) worker(30) stopped --- 57 stopped workers
place(0) worker(28) stopped --- 45 stopped workers
place(0) worker(37) stopped --- 60 stopped workers
place(0) worker(51) stopped --- 43 stopped workers
place(0) worker(43) stopped --- 42 stopped workers
place(0) worker(6) stopped --- 41 stopped workers
