Concurrent workers; 68
Granulatiry; 1000
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(2): thread waiting on operation handist.collections.glb.GlbOperation@5
place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(3): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(1) stopped --- 1 stopped workers
place(0) worker(61) stopped --- 15 stopped workers
place(0) worker(11) stopped --- 15 stopped workers
place(0) worker(57) stopped --- 15 stopped workers
place(0) worker(9) stopped --- 11 stopped workers
place(0) worker(16) stopped --- 0 stopped workers
place(0) worker(63) stopped --- 1 stopped workers
place(0) worker(38) stopped --- 17 stopped workers
place(0) worker(53) stopped --- 14 stopped workers
place(0) worker(7) stopped --- 14 stopped workers
place(0) worker(15) stopped --- 14 stopped workers
place(0) worker(64) stopped --- 14 stopped workers
place(0) worker(42) stopped --- 14 stopped workers
place(0) worker(26) stopped --- 15 stopped workers
place(0) worker(66) stopped --- 14 stopped workers
place(0) worker(5) stopped --- 5 stopped workers
place(0) worker(45) stopped --- 16 stopped workers
place(0) worker(0) stopped --- 14 stopped workers
place(0) worker(34) stopped --- 15 stopped workers
place(0) worker(47) stopped --- 40 stopped workers
place(0) worker(29) stopped --- 27 stopped workers
place(0) worker(9) stopped --- 18 stopped workers
place(0) worker(65) stopped --- 19 stopped workers
place(0) worker(40) stopped --- 46 stopped workers
place(0) worker(50) stopped --- 19 stopped workers
place(0) worker(52) stopped --- 46 stopped workers
place(0) worker(1) stopped --- 19 stopped workers
place(0) worker(59) stopped --- 19 stopped workers
place(0) worker(0) stopped --- 19 stopped workers
place(0) worker(28) stopped --- 19 stopped workers
place(0) worker(30) stopped --- 55 stopped workers
place(0) worker(62) stopped --- 19 stopped workers
place(0) worker(4) stopped --- 62 stopped workers
place(0) worker(61) stopped --- 62 stopped workers
place(0) worker(37) stopped --- 19 stopped workers
place(0) worker(23) stopped --- 19 stopped workers
place(0) worker(32) stopped --- 19 stopped workers
place(0) worker(26) stopped --- 16 stopped workers
place(0) worker(46) stopped --- 16 stopped workers
place(0) worker(11) stopped --- 12 stopped workers
place(0) worker(21) stopped --- 12 stopped workers
place(0) worker(33) stopped --- 3 stopped workers
place(0) worker(48) stopped --- 4 stopped workers
place(0) worker(2) stopped --- 5 stopped workers
place(0) worker(7) stopped --- 1 stopped workers
place(0) worker(49) stopped --- 4 stopped workers
place(0) worker(20) stopped --- 0 stopped workers
place(0): resumed after waiting on handist.collections.glb.GlbOperation@5
place(0) worker(39) stopped --- 68 stopped workers
place(0) worker(3) stopped --- 67 stopped workers
place(0) worker(66) stopped --- 66 stopped workers
place(0) worker(34) stopped --- 66 stopped workers
place(0) worker(36) stopped --- 63 stopped workers
place(0) worker(22) stopped --- 63 stopped workers
place(0) worker(42) stopped --- 62 stopped workers
place(0) worker(57) stopped --- 62 stopped workers
place(0) worker(60) stopped --- 62 stopped workers
place(0) worker(24) stopped --- 62 stopped workers
place(0) worker(16) stopped --- 62 stopped workers
place(0) worker(50) stopped --- 61 stopped workers
place(0) worker(51) stopped --- 61 stopped workers
place(0) worker(19) stopped --- 60 stopped workers
place(0) worker(17) stopped --- 61 stopped workers
place(0) worker(67) stopped --- 60 stopped workers
place(0) worker(31) stopped --- 57 stopped workers
place(0) worker(12) stopped --- 57 stopped workers
place(0) worker(43) stopped --- 55 stopped workers
place(0) worker(44) stopped --- 55 stopped workers
place(0) worker(58) stopped --- 55 stopped workers
place(0) worker(8) stopped --- 54 stopped workers
place(0) worker(47) stopped --- 53 stopped workers
place(0) worker(63) stopped --- 53 stopped workers
place(0) worker(18) stopped --- 53 stopped workers
place(0) worker(27) stopped --- 53 stopped workers
place(0) worker(48) stopped --- 53 stopped workers
place(0) worker(41) stopped --- 53 stopped workers
place(0) worker(38) stopped --- 48 stopped workers
