Concurrent workers; 68
Granulatiry; 400
Lifeline class; handist.collections.glb.lifeline.Hypercube
Serialization; KRYO
Arguments received were [5, 10, 20, 10000, 10000000, 42]
place(0): thread waiting on operation handist.collections.glb.GlbOperation@5
place(3): thread waiting on operation handist.collections.glb.GlbOperation@5place(2): thread waiting on operation handist.collections.glb.GlbOperation@5

place(1): thread waiting on operation handist.collections.glb.GlbOperation@5
place(0) worker(8) stopped --- 0 stopped workers
place(0) worker(62) stopped --- 9 stopped workers
place(0) worker(53) stopped --- 0 stopped workers
place(0) worker(11) stopped --- 11 stopped workers
place(0) worker(45) stopped --- 11 stopped workers
place(0) worker(64) stopped --- 10 stopped workers
place(0) worker(15) stopped --- 10 stopped workers
place(0) worker(10) stopped --- 10 stopped workers
place(0) worker(17) stopped --- 10 stopped workers
place(0) worker(46) stopped --- 13 stopped workers
place(0) worker(27) stopped --- 13 stopped workers
place(0) worker(12) stopped --- 1 stopped workers
place(0) worker(20) stopped --- 0 stopped workers
place(0) worker(37) stopped --- 0 stopped workers
place(0) worker(21) stopped --- 22 stopped workers
place(0) worker(27) stopped --- 32 stopped workers
place(0) worker(43) stopped --- 3 stopped workers
place(0) worker(54) stopped --- 33 stopped workers
place(0) worker(26) stopped --- 3 stopped workers
place(0) worker(65) stopped --- 0 stopped workers
place(0) worker(41) stopped --- 0 stopped workers
place(0) worker(53) stopped --- 3 stopped workers
place(0) worker(55) stopped --- 4 stopped workers
place(0) worker(14) stopped --- 5 stopped workers
place(0) worker(66) stopped --- 5 stopped workers
place(0) worker(34) stopped --- 3 stopped workers
place(0) worker(22) stopped --- 3 stopped workers
place(0) worker(63) stopped --- 41 stopped workers
place(0) worker(18) stopped --- 3 stopped workers
place(0) worker(25) stopped --- 39 stopped workers
place(0) worker(67) stopped --- 3 stopped workers
place(0) worker(17) stopped --- 1 stopped workers
place(0) worker(52) stopped --- 2 stopped workers
place(0) worker(52) stopped --- 47 stopped workers
place(0) worker(62) stopped --- 2 stopped workers
place(0) worker(32) stopped --- 2 stopped workers
place(0) worker(63) stopped --- 3 stopped workers
place(0) worker(45) stopped --- 2 stopped workers
place(0) worker(67) stopped --- 50 stopped workers
place(0) worker(65) stopped --- 1 stopped workers
place(0) worker(8) stopped --- 0 stopped workers
place(0) worker(0) stopped --- 1 stopped workers
place(0) worker(5) stopped --- 54 stopped workers
place(0) worker(12) stopped --- 2 stopped workers
place(0) worker(15) stopped --- 1 stopped workers
place(0) worker(23) stopped --- 2 stopped workers
place(0) worker(18) stopped --- 55 stopped workers
place(0) worker(24) stopped --- 54 stopped workers
place(0) worker(57) stopped --- 54 stopped workers
place(0) worker(66) stopped --- 51 stopped workers
place(0) worker(8) stopped --- 51 stopped workers
place(0) worker(62) stopped --- 51 stopped workers
place(0) worker(58) stopped --- 50 stopped workers
place(0) worker(43) stopped --- 50 stopped workers
place(0) worker(4) stopped --- 47 stopped workers
place(0) worker(11) stopped --- 48 stopped workers
place(0) worker(59) stopped --- 46 stopped workers
place(0) worker(22) stopped --- 46 stopped workers
place(0) worker(3) stopped --- 44 stopped workers
place(0) worker(9) stopped --- 44 stopped workers
place(0) worker(29) stopped --- 44 stopped workers
place(0) worker(32) stopped --- 44 stopped workers
place(0) worker(46) stopped --- 43 stopped workers
place(0) worker(23) stopped --- 39 stopped workers
place(0) worker(15) stopped --- 39 stopped workers
place(0) worker(45) stopped --- 41 stopped workers
place(0) worker(60) stopped --- 41 stopped workers
place(0) worker(37) stopped --- 40 stopped workers
place(0) worker(53) stopped --- 38 stopped workers
place(0) worker(6) stopped --- 37 stopped workers
place(0) worker(44) stopped --- 36 stopped workers
place(0) worker(10) stopped --- 36 stopped workers
place(0) worker(49) stopped --- 36 stopped workers
place(0) worker(39) stopped --- 35 stopped workers
place(0) worker(35) stopped --- 35 stopped workers
place(0) worker(8) stopped --- 32 stopped workers
place(0) worker(0) stopped --- 30 stopped workers
place(0) worker(57) stopped --- 30 stopped workers
place(0) worker(7) stopped --- 32 stopped workers
place(0) worker(59) stopped --- 32 stopped workers
place(0) worker(12) stopped --- 32 stopped workers
place(0) worker(56) stopped --- 32 stopped workers
place(0) worker(16) stopped --- 32 stopped workers
place(0) worker(42) stopped --- 32 stopped workers
place(0) worker(11) stopped --- 32 stopped workers
place(0) worker(29) stopped --- 32 stopped workers
place(0) worker(25) stopped --- 32 stopped workers
place(0) worker(30) stopped --- 32 stopped workers
place(0) worker(22) stopped --- 32 stopped workers
place(0) worker(36) stopped --- 32 stopped workers
place(0) worker(33) stopped --- 32 stopped workers
place(0) worker(3) stopped --- 32 stopped workers
place(0) worker(1) stopped --- 32 stopped workers
place(0) worker(5) stopped --- 32 stopped workers
place(0) worker(51) stopped --- 32 stopped workers
place(0) worker(61) stopped --- 24 stopped workers
place(0) worker(41) stopped --- 27 stopped workers
place(0) worker(50) stopped --- 31 stopped workers
place(0) worker(24) stopped --- 24 stopped workers
place(0) worker(4) stopped --- 24 stopped workers
place(0) worker(31) stopped --- 24 stopped workers
place(0) worker(19) stopped --- 16 stopped workers
place(0) worker(40) stopped --- 15 stopped workers
place(0) worker(60) stopped --- 14 stopped workers
place(0) worker(66) stopped --- 12 stopped workers
place(0) worker(13) stopped --- 8 stopped workers
place(0) worker(2) stopped --- 6 stopped workers
place(0) worker(47) stopped --- 0 stopped workers
place(0) worker(28) stopped --- 0 stopped workers
place(0) worker(39) stopped --- 0 stopped workers
place(0) worker(35) stopped --- 0 stopped workers
place(0) worker(48) stopped --- 0 stopped workers
place(0) worker(58) stopped --- 0 stopped workers
place(0) worker(38) stopped --- 1 stopped workers
place(0): resumed after waiting on handist.collections.glb.GlbOperation@5
place(0) worker(26) stopped --- 68 stopped workers
place(0) worker(28) stopped --- 67 stopped workers
place(0) worker(20) stopped --- 67 stopped workers
place(0) worker(55) stopped --- 66 stopped workers
place(2) worker(55) stopped --- 0 stopped workersplace(0) worker(1) stopped --- 65 stopped workers

place(0) worker(48) stopped --- 65 stopped workers
place(0) worker(65) stopped --- 64 stopped workersplace(2) worker(52) stopped --- 1 stopped workers
place(0) worker(37) stopped --- 61 stopped workers
place(0) worker(36) stopped --- 61 stopped workers
place(0) worker(40) stopped --- 60 stopped workers
place(0) worker(47) stopped --- 59 stopped workers
place(0) worker(17) stopped --- 58 stopped workers
place(0) worker(14) stopped --- 58 stopped workers
place(0) worker(64) stopped --- 57 stopped workers
place(0) worker(33) stopped --- 58 stopped workers
place(0) worker(21) stopped --- 57 stopped workers
place(0) worker(38) stopped --- 57 stopped workers
place(0) worker(34) stopped --- 56 stopped workers

place(2) worker(61) stopped --- 1 stopped workers
place(2) worker(4) stopped --- 0 stopped workers
place(2) worker(37) stopped --- 6 stopped workers
place(2) worker(5) stopped --- 3 stopped workers
place(2) worker(64) stopped --- 2 stopped workers
place(2) worker(31) stopped --- 34 stopped workers
place(2) worker(39) stopped --- 37 stopped workers
place(2) worker(50) stopped --- 37 stopped workers
place(2) worker(50) stopped --- 0 stopped workers
place(2) worker(51) stopped --- 45 stopped workers
place(2) worker(60) stopped --- 45 stopped workers
place(2) worker(25) stopped --- 45 stopped workers
place(2) worker(61) stopped --- 44 stopped workers
place(2) worker(59) stopped --- 39 stopped workers
place(2) worker(7) stopped --- 41 stopped workers
place(2) worker(23) stopped --- 57 stopped workers
place(2) worker(10) stopped --- 37 stopped workers
place(2) worker(54) stopped --- 62 stopped workers
place(2) worker(12) stopped --- 38 stopped workers
place(2) worker(33) stopped --- 38 stopped workers
place(2) worker(21) stopped --- 38 stopped workers
place(2) worker(14) stopped --- 38 stopped workers
place(2) worker(8) stopped --- 38 stopped workers
place(2) worker(32) stopped --- 38 stopped workers
place(2) worker(56) stopped --- 37 stopped workers
place(2) worker(29) stopped --- 38 stopped workers
place(2) worker(52) stopped --- 37 stopped workers
place(2) worker(48) stopped --- 37 stopped workers
place(2) worker(45) stopped --- 37 stopped workers
place(2) worker(34) stopped --- 37 stopped workers
place(2) worker(38) stopped --- 37 stopped workers
place(2) worker(11) stopped --- 37 stopped workers
place(2) worker(28) stopped --- 37 stopped workers
place(2) worker(6) stopped --- 37 stopped workers
place(2) worker(16) stopped --- 37 stopped workers
place(2) worker(57) stopped --- 37 stopped workers
place(2) worker(41) stopped --- 37 stopped workers
place(2) worker(42) stopped --- 37 stopped workers
place(2) worker(1) stopped --- 37 stopped workers
place(2) worker(47) stopped --- 37 stopped workers
place(2) worker(26) stopped --- 37 stopped workers
place(2) worker(22) stopped --- 37 stopped workers
place(2) worker(40) stopped --- 37 stopped workers
place(2) worker(23) stopped --- 37 stopped workers
place(2) worker(15) stopped --- 37 stopped workers
place(2) worker(24) stopped --- 37 stopped workers
place(2) worker(43) stopped --- 30 stopped workers
place(2) worker(67) stopped --- 30 stopped workers
place(2) worker(58) stopped --- 28 stopped workers
place(2) worker(37) stopped --- 11 stopped workers
place(2) worker(29) stopped --- 4 stopped workers
place(2) worker(2) stopped --- 2 stopped workers
place(2) worker(55) stopped --- 2 stopped workers
place(2) worker(25) stopped --- 6 stopped workers
place(2) worker(62) stopped --- 6 stopped workers
place(2) worker(54) stopped --- 6 stopped workers
place(2) worker(29) stopped --- 68 stopped workers
place(2): resumed after waiting on handist.collections.glb.GlbOperation@5
place(2) worker(65) stopped --- 67 stopped workers
place(2) worker(37) stopped --- 66 stopped workers
place(2) worker(0) stopped --- 66 stopped workers
place(2) worker(15) stopped --- 66 stopped workers
place(2) worker(41) stopped --- 64 stopped workers
place(2) worker(47) stopped --- 63 stopped workers
place(2) worker(5) stopped --- 64 stopped workers
place(2) worker(27) stopped --- 61 stopped workers
place(2) worker(30) stopped --- 61 stopped workers
place(2) worker(53) stopped --- 61 stopped workers
place(2) worker(44) stopped --- 57 stopped workers
place(2) worker(9) stopped --- 56 stopped workers
place(2) worker(1) stopped --- 56 stopped workers
place(2) worker(20) stopped --- 56 stopped workers
place(2) worker(31) stopped --- 52 stopped workers
place(2) worker(19) stopped --- 53 stopped workers
place(2) worker(58) stopped --- 53 stopped workers
place(2) worker(18) stopped --- 53 stopped workers
place(2) worker(46) stopped --- 49 stopped workers
place(2) worker(35) stopped --- 48 stopped workers
place(2) worker(3) stopped --- 49 stopped workers
place(2) worker(62) stopped --- 49 stopped workers
place(2) worker(4) stopped --- 47 stopped workers
place(2) worker(13) stopped --- 45 stopped workers
place(2) worker(26) stopped --- 45 stopped workers
place(2) worker(49) stopped --- 45 stopped workers
place(2) worker(17) stopped --- 44 stopped workers
place(2) worker(36) stopped --- 46 stopped workers
place(2) worker(63) stopped --- 46 stopped workers
place(2) worker(66) stopped --- 46 stopped workers
place(0) established lifeline on place(2) for collection DistChunkedList:gid(1)
place(2) established lifeline on place(0) for collection DistChunkedList:gid(1)
place(1) worker(41) stopped --- 1 stopped workers
place(1) worker(34) stopped --- 9 stopped workers
place(1) worker(64) stopped --- 10 stopped workers
place(1) worker(27) stopped --- 9 stopped workers
place(1) worker(33) stopped --- 9 stopped workers
place(1) worker(2) stopped --- 9 stopped workers
place(1) worker(36) stopped --- 8 stopped workers
place(1) worker(50) stopped --- 0 stopped workers
place(1) worker(13) stopped --- 2 stopped workers
place(1) worker(35) stopped --- 1 stopped workers
place(1) worker(31) stopped --- 13 stopped workers
place(1) worker(14) stopped --- 12 stopped workers
place(1) worker(47) stopped --- 12 stopped workers
place(1) worker(32) stopped --- 0 stopped workers
place(1) worker(15) stopped --- 4 stopped workers
place(1) worker(23) stopped --- 15 stopped workers
place(1) worker(30) stopped --- 14 stopped workers
place(1) worker(1) stopped --- 11 stopped workers
place(1) worker(27) stopped --- 13 stopped workers
place(1) worker(3) stopped --- 11 stopped workers
place(1) worker(39) stopped --- 12 stopped workers
place(1) worker(64) stopped --- 23 stopped workers
place(1) worker(26) stopped --- 0 stopped workers
place(1) worker(8) stopped --- 0 stopped workers
place(1) worker(18) stopped --- 1 stopped workers
place(1) worker(19) stopped --- 23 stopped workers
place(1) worker(7) stopped --- 22 stopped workers
place(1) worker(50) stopped --- 22 stopped workers
place(1) worker(25) stopped --- 24 stopped workers
place(1) worker(43) stopped --- 34 stopped workers
place(1) worker(26) stopped --- 24 stopped workers
place(1) worker(24) stopped --- 24 stopped workers
place(1) worker(33) stopped --- 24 stopped workers
place(1) worker(18) stopped --- 24 stopped workers
place(1) worker(11) stopped --- 39 stopped workers
place(1) worker(42) stopped --- 43 stopped workers
place(1) worker(13) stopped --- 25 stopped workers
