Init; 29863.388569 ms
Iter 0; 442.907912 ms
Iter 1; 134.522726 ms
Iter 2; 114.953302 ms
Iter 3; 105.593371 ms
Iter 4; 141.084408 ms
Iter 5; 79.944479 ms
Iter 6; 84.883876 ms
Iter 7; 94.569205 ms
Iter 8; 97.059775 ms
Iter 9; 86.268242 ms
Iter 10; 83.824932 ms
Iter 11; 87.816322 ms
Iter 12; 73.191866 ms
Iter 13; 82.629563 ms
Iter 14; 94.532768 ms
Iter 15; 83.405416 ms
Iter 16; 80.19573 ms
Iter 17; 79.453233 ms
Iter 18; 92.112416 ms
Iter 19; 105.066044 ms
Iter 20; 99.280019 ms
Iter 21; 87.905286 ms
Iter 22; 88.862799 ms
Iter 23; 92.835373 ms
Iter 24; 79.6128 ms
Iter 25; 85.071093 ms
Iter 26; 80.47563 ms
Iter 27; 90.315602 ms
Iter 28; 71.213992 ms
Iter 29; 72.282274 ms
Init; 27973.731103 ms
Iter 0; 482.975787 ms
Iter 1; 127.894791 ms
Iter 2; 117.616715 ms
Iter 3; 99.957343 ms
Iter 4; 146.27455 ms
Iter 5; 128.491163 ms
Iter 6; 76.947174 ms
Iter 7; 90.089898 ms
Iter 8; 88.857398 ms
Iter 9; 132.367197 ms
Iter 10; 85.617419 ms
Iter 11; 84.532315 ms
Iter 12; 72.782485 ms
Iter 13; 85.18065 ms
Iter 14; 77.415844 ms
Iter 15; 81.797112 ms
Iter 16; 81.521407 ms
Iter 17; 92.52455 ms
Iter 18; 99.245792 ms
Iter 19; 92.677056 ms
Iter 20; 110.00101 ms
Iter 21; 92.632377 ms
Iter 22; 84.494219 ms
Iter 23; 80.250419 ms
Iter 24; 86.817789 ms
Iter 25; 79.297798 ms
Iter 26; 86.526682 ms
Iter 27; 98.26164 ms
Iter 28; 81.191351 ms
Iter 29; 80.967014 ms
Init; 28139.00667 ms
Iter 0; 412.221383 ms
Iter 1; 146.945669 ms
Iter 2; 107.95862 ms
Iter 3; 110.803488 ms
Iter 4; 195.534042 ms
Iter 5; 81.85776 ms
Iter 6; 83.705996 ms
Iter 7; 87.275047 ms
Iter 8; 124.416495 ms
Iter 9; 83.997034 ms
Iter 10; 82.878812 ms
Iter 11; 2182.702054 ms
Iter 12; 81.784661 ms
Iter 13; 89.735757 ms
Iter 14; 87.352374 ms
Iter 15; 94.901379 ms
Iter 16; 82.576971 ms
Iter 17; 85.194286 ms
Iter 18; 98.711207 ms
Iter 19; 101.38617 ms
Iter 20; 85.190833 ms
Iter 21; 71.985437 ms
Iter 22; 78.245868 ms
Iter 23; 72.7687 ms
Iter 24; 75.362786 ms
Iter 25; 82.097636 ms
Iter 26; 83.674773 ms
Iter 27; 77.384807 ms
Iter 28; 83.57715 ms
Iter 29; 120.701719 ms
Init; 30606.948057 ms
Iter 0; 384.103807 ms
Iter 1; 127.994549 ms
Iter 2; 122.357692 ms
Iter 3; 155.948291 ms
Iter 4; 238.040781 ms
Iter 5; 140.729625 ms
Iter 6; 86.440638 ms
Iter 7; 95.418585 ms
Iter 8; 90.107539 ms
Iter 9; 82.94819 ms
Iter 10; 75.756137 ms
Iter 11; 79.512948 ms
Iter 12; 92.108956 ms
Iter 13; 93.724038 ms
Iter 14; 89.836449 ms
Iter 15; 100.567004 ms
Iter 16; 79.453076 ms
Iter 17; 86.49814 ms
Iter 18; 100.464061 ms
Iter 19; 95.151462 ms
Iter 20; 88.862791 ms
Iter 21; 99.323163 ms
Iter 22; 91.822132 ms
Iter 23; 84.876323 ms
Iter 24; 92.25523 ms
Iter 25; 93.440901 ms
Iter 26; 77.337193 ms
Iter 27; 89.197037 ms
Iter 28; 106.731812 ms
Iter 29; 93.783909 ms
Init; 28839.205707 ms
Iter 0; 501.680876 ms
Iter 1; 114.813174 ms
Iter 2; 99.810782 ms
Iter 3; 120.233553 ms
Iter 4; 179.687316 ms
Iter 5; 94.97228 ms
Iter 6; 87.713564 ms
Iter 7; 86.988688 ms
Iter 8; 94.03594 ms
Iter 9; 82.808345 ms
Iter 10; 84.621403 ms
Iter 11; 88.550951 ms
Iter 12; 75.276445 ms
Iter 13; 84.913538 ms
Iter 14; 99.716184 ms
Iter 15; 100.463779 ms
Iter 16; 83.251838 ms
Iter 17; 79.221709 ms
Iter 18; 84.713996 ms
Iter 19; 106.440923 ms
Iter 20; 102.044212 ms
Iter 21; 87.27728 ms
Iter 22; 74.206382 ms
Iter 23; 81.9808 ms
Iter 24; 81.239701 ms
Iter 25; 79.652513 ms
Iter 26; 83.232643 ms
Iter 27; 75.820859 ms
Iter 28; 70.276996 ms
Iter 29; 73.773026 ms
