Init; 28216.39355 ms
Iter 0; 688.98051 ms
Iter 1; 494.89814 ms
Iter 2; 255.925614 ms
Iter 3; 275.136678 ms
Iter 4; 306.935546 ms
Iter 5; 286.611497 ms
Iter 6; 261.080899 ms
Iter 7; 275.065026 ms
Iter 8; 279.939576 ms
Iter 9; 251.129575 ms
Iter 10; 289.228042 ms
Iter 11; 258.5481 ms
Iter 12; 261.976203 ms
Iter 13; 255.982112 ms
Iter 14; 251.425972 ms
Iter 15; 271.924583 ms
Iter 16; 260.210628 ms
Iter 17; 296.712652 ms
Iter 18; 292.266783 ms
Iter 19; 253.612548 ms
Iter 20; 253.683276 ms
Iter 21; 256.989497 ms
Iter 22; 233.045522 ms
Iter 23; 266.447987 ms
Iter 24; 262.003821 ms
Iter 25; 263.572729 ms
Iter 26; 258.717968 ms
Iter 27; 235.945043 ms
Iter 28; 263.822197 ms
Iter 29; 258.931397 ms
Init; 30650.300053 ms
Iter 0; 803.766982 ms
Iter 1; 778.068873 ms
Iter 2; 286.45565 ms
Iter 3; 281.119133 ms
Iter 4; 296.233933 ms
Iter 5; 315.146552 ms
Iter 6; 296.535423 ms
Iter 7; 286.073963 ms
Iter 8; 298.08118 ms
Iter 9; 268.470444 ms
Iter 10; 271.510612 ms
Iter 11; 288.933673 ms
Iter 12; 276.026693 ms
Iter 13; 288.790866 ms
Iter 14; 278.798885 ms
Iter 15; 288.125698 ms
Iter 16; 279.109348 ms
Iter 17; 308.29012 ms
Iter 18; 318.835486 ms
Iter 19; 288.1103 ms
Iter 20; 282.154708 ms
Iter 21; 277.694012 ms
Iter 22; 264.277144 ms
Iter 23; 278.592673 ms
Iter 24; 274.620884 ms
Iter 25; 277.343651 ms
Iter 26; 288.221464 ms
Iter 27; 257.899924 ms
Iter 28; 278.129528 ms
Iter 29; 290.96507 ms
Init; 28779.514076 ms
Iter 0; 552.521211 ms
Iter 1; 248.449156 ms
Iter 2; 221.021018 ms
Iter 3; 217.468954 ms
Iter 4; 256.947844 ms
Iter 5; 219.708362 ms
Iter 6; 219.050852 ms
Iter 7; 215.264769 ms
Iter 8; 220.65669 ms
Iter 9; 203.296182 ms
Iter 10; 237.141853 ms
Iter 11; 216.93283 ms
Iter 12; 214.444018 ms
Iter 13; 212.186842 ms
Iter 14; 197.801977 ms
Iter 15; 2320.768912 ms
Iter 16; 205.513646 ms
Iter 17; 244.653071 ms
Iter 18; 231.583673 ms
Iter 19; 212.058344 ms
Iter 20; 207.644939 ms
Iter 21; 199.958267 ms
Iter 22; 209.686129 ms
Iter 23; 201.652737 ms
Iter 24; 201.702831 ms
Iter 25; 199.26863 ms
Iter 26; 204.606697 ms
Iter 27; 239.887394 ms
Iter 28; 215.39106 ms
Iter 29; 213.027375 ms
Init; 31025.487917 ms
Iter 0; 789.949015 ms
Iter 1; 301.347298 ms
Iter 2; 285.914491 ms
Iter 3; 282.735762 ms
Iter 4; 331.435782 ms
Iter 5; 307.568636 ms
Iter 6; 286.688144 ms
Iter 7; 291.160699 ms
Iter 8; 301.130618 ms
Iter 9; 290.828159 ms
Iter 10; 294.558131 ms
Iter 11; 279.197373 ms
Iter 12; 290.846962 ms
Iter 13; 274.654242 ms
Iter 14; 282.25016 ms
Iter 15; 271.553832 ms
Iter 16; 285.577657 ms
Iter 17; 334.477115 ms
Iter 18; 339.523141 ms
Iter 19; 301.806701 ms
Iter 20; 284.274552 ms
Iter 21; 254.226477 ms
Iter 22; 275.445387 ms
Iter 23; 282.74863 ms
Iter 24; 278.679021 ms
Iter 25; 259.897192 ms
Iter 26; 276.10693 ms
Iter 27; 279.538875 ms
Iter 28; 286.362034 ms
Iter 29; 262.771465 ms
Init; 27001.1471 ms
Iter 0; 612.056143 ms
Iter 1; 566.012754 ms
Iter 2; 262.836386 ms
Iter 3; 253.829805 ms
Iter 4; 261.683338 ms
Iter 5; 252.018173 ms
Iter 6; 248.836651 ms
Iter 7; 255.318834 ms
Iter 8; 261.644082 ms
Iter 9; 240.770088 ms
Iter 10; 262.675559 ms
Iter 11; 249.381381 ms
Iter 12; 248.923605 ms
Iter 13; 242.358572 ms
Iter 14; 246.311349 ms
Iter 15; 247.913267 ms
Iter 16; 252.529245 ms
Iter 17; 296.804265 ms
Iter 18; 264.728258 ms
Iter 19; 265.449675 ms
Iter 20; 239.563581 ms
Iter 21; 243.998717 ms
Iter 22; 236.073424 ms
Iter 23; 248.390746 ms
Iter 24; 262.525813 ms
Iter 25; 239.385657 ms
Iter 26; 233.466294 ms
Iter 27; 254.568635 ms
Iter 28; 239.624184 ms
Iter 29; 247.387294 ms
