Init; 4531.270192 ms
Iter 0; 1151.829351 ms
Iter 1; 822.555656 ms
Iter 2; 650.843956 ms
Iter 3; 780.188127 ms
Iter 4; 635.072193 ms
Iter 5; 618.152697 ms
Iter 6; 623.838383 ms
Iter 7; 632.081101 ms
Iter 8; 629.415529 ms
Iter 9; 813.291747 ms
Iter 10; 626.202123 ms
Iter 11; 628.782921 ms
Iter 12; 632.721995 ms
Iter 13; 12023.119657 ms
Iter 14; 625.246026 ms
Iter 15; 666.270813 ms
Iter 16; 668.740295 ms
Iter 17; 775.213353 ms
Iter 18; 730.522176 ms
Iter 19; 722.247801 ms
Iter 20; 684.369565 ms
Iter 21; 756.06183 ms
Iter 22; 692.682573 ms
Iter 23; 700.81543 ms
Iter 24; 701.977771 ms
Iter 25; 686.239681 ms
Iter 26; 714.818457 ms
Iter 27; 811.538318 ms
Iter 28; 775.486817 ms
Iter 29; 716.037652 ms
Init; 5205.504818 ms
Iter 0; 1145.077897 ms
Iter 1; 1000.198095 ms
Iter 2; 1290.070249 ms
Iter 3; 901.194196 ms
Iter 4; 630.063846 ms
Iter 5; 591.432949 ms
Iter 6; 606.710319 ms
Iter 7; 704.148073 ms
Iter 8; 701.956018 ms
Iter 9; 659.985594 ms
Iter 10; 615.291333 ms
Iter 11; 608.362121 ms
Iter 12; 12006.978617 ms
Iter 13; 627.766887 ms
Iter 14; 637.796591 ms
Iter 15; 679.442642 ms
Iter 16; 719.739374 ms
Iter 17; 759.292105 ms
Iter 18; 709.734306 ms
Iter 19; 687.739936 ms
Iter 20; 689.914838 ms
Iter 21; 686.559421 ms
Iter 22; 683.45366 ms
Iter 23; 696.335703 ms
Iter 24; 702.714624 ms
Iter 25; 679.022155 ms
Iter 26; 742.149701 ms
Iter 27; 782.992543 ms
Iter 28; 763.670231 ms
Iter 29; 711.75131 ms
Init; 5207.905023 ms
Iter 0; 1363.883168 ms
Iter 1; 570.667253 ms
Iter 2; 621.602947 ms
Iter 3; 802.081562 ms
Iter 4; 719.091286 ms
Iter 5; 775.047036 ms
Iter 6; 594.793263 ms
Iter 7; 763.276347 ms
Iter 8; 648.92788 ms
Iter 9; 11991.176312 ms
Iter 10; 656.29436 ms
Iter 11; 630.54643 ms
Iter 12; 664.018757 ms
Iter 13; 666.727018 ms
Iter 14; 656.49259 ms
Iter 15; 701.559033 ms
Iter 16; 672.510802 ms
Iter 17; 676.250668 ms
Iter 18; 753.708386 ms
Iter 19; 745.184331 ms
Iter 20; 695.680385 ms
Iter 21; 697.387455 ms
Iter 22; 699.030161 ms
Iter 23; 703.986059 ms
Iter 24; 715.380715 ms
Iter 25; 687.506881 ms
Iter 26; 704.231077 ms
Iter 27; 705.585615 ms
Iter 28; 713.068824 ms
Iter 29; 720.726756 ms
Init; 4481.787932 ms
Iter 0; 1660.217645 ms
Iter 1; 845.288527 ms
Iter 2; 692.220723 ms
Iter 3; 805.088352 ms
Iter 4; 621.430205 ms
Iter 5; 622.32215 ms
Iter 6; 630.305835 ms
Iter 7; 642.909872 ms
Iter 8; 623.013369 ms
Iter 9; 823.350651 ms
Iter 10; 629.875264 ms
Iter 11; 629.997633 ms
Iter 12; 629.360377 ms
Iter 13; 635.813097 ms
Iter 14; 12121.289818 ms
Iter 15; 670.616108 ms
Iter 16; 663.928006 ms
Iter 17; 689.249401 ms
Iter 18; 787.850296 ms
Iter 19; 729.698744 ms
Iter 20; 705.927571 ms
Iter 21; 695.568956 ms
Iter 22; 711.166141 ms
Iter 23; 702.443557 ms
Iter 24; 705.118898 ms
Iter 25; 702.217306 ms
Iter 26; 710.626897 ms
Iter 27; 706.444135 ms
Iter 28; 747.227228 ms
Iter 29; 798.10072 ms
Init; 4464.542632 ms
Iter 0; 1067.460853 ms
Iter 1; 576.096098 ms
Iter 2; 576.059325 ms
Iter 3; 623.580753 ms
Iter 4; 758.791122 ms
Iter 5; 625.946062 ms
Iter 6; 607.062534 ms
Iter 7; 630.444263 ms
Iter 8; 613.893838 ms
Iter 9; 656.037001 ms
Iter 10; 787.445185 ms
Iter 11; 624.468304 ms
Iter 12; 623.717622 ms
Iter 13; 12066.155779 ms
Iter 14; 629.657988 ms
Iter 15; 697.387741 ms
Iter 16; 778.027408 ms
Iter 17; 772.401296 ms
Iter 18; 777.766239 ms
Iter 19; 689.071531 ms
Iter 20; 683.95606 ms
Iter 21; 682.731764 ms
Iter 22; 681.141324 ms
Iter 23; 701.685978 ms
Iter 24; 732.091469 ms
Iter 25; 795.966039 ms
Iter 26; 745.346173 ms
Iter 27; 712.233206 ms
Iter 28; 710.024821 ms
Iter 29; 717.485809 ms
