Init; 37865.956219 ms
Iter 0; 807.336175 ms
Iter 1; 236.984303 ms
Iter 2; 218.701225 ms
Iter 3; 246.019435 ms
Iter 4; 188.414443 ms
Iter 5; 163.544586 ms
Iter 6; 177.262048 ms
Iter 7; 257.451554 ms
Iter 8; 182.972701 ms
Iter 9; 180.920634 ms
Iter 10; 184.089209 ms
Iter 11; 186.282796 ms
Iter 12; 179.781625 ms
Iter 13; 195.768174 ms
Iter 14; 181.926452 ms
Iter 15; 375.369269 ms
Iter 16; 172.715174 ms
Iter 17; 175.317971 ms
Iter 18; 175.624026 ms
Iter 19; 193.518513 ms
Iter 20; 192.855285 ms
Iter 21; 198.821141 ms
Iter 22; 192.517246 ms
Iter 23; 201.0644 ms
Iter 24; 206.986029 ms
Iter 25; 230.084249 ms
Iter 26; 239.958346 ms
Iter 27; 218.314274 ms
Iter 28; 317.422715 ms
Iter 29; 275.786449 ms
Init; 37762.744666 ms
Iter 0; 856.327577 ms
Iter 1; 235.746743 ms
Iter 2; 213.713687 ms
Iter 3; 218.852357 ms
Iter 4; 173.720776 ms
Iter 5; 179.310061 ms
Iter 6; 176.600969 ms
Iter 7; 256.691735 ms
Iter 8; 182.090586 ms
Iter 9; 179.345811 ms
Iter 10; 181.452378 ms
Iter 11; 184.417433 ms
Iter 12; 189.325285 ms
Iter 13; 194.158668 ms
Iter 14; 188.747856 ms
Iter 15; 382.840924 ms
Iter 16; 199.203849 ms
Iter 17; 206.603438 ms
Iter 18; 202.195885 ms
Iter 19; 213.748507 ms
Iter 20; 200.659727 ms
Iter 21; 200.854007 ms
Iter 22; 192.48136 ms
Iter 23; 202.263535 ms
Iter 24; 203.880662 ms
Iter 25; 205.69018 ms
Iter 26; 208.693765 ms
Iter 27; 714.136427 ms
Iter 28; 209.935033 ms
Iter 29; 209.647885 ms
Init; 38197.584013 ms
Iter 0; 884.377806 ms
Iter 1; 256.05083 ms
Iter 2; 224.103543 ms
Iter 3; 217.216723 ms
Iter 4; 175.615954 ms
Iter 5; 179.384139 ms
Iter 6; 184.014076 ms
Iter 7; 253.642136 ms
Iter 8; 186.224379 ms
Iter 9; 187.909051 ms
Iter 10; 183.472544 ms
Iter 11; 186.287118 ms
Iter 12; 185.411586 ms
Iter 13; 189.092603 ms
Iter 14; 177.715408 ms
Iter 15; 366.662792 ms
Iter 16; 182.912211 ms
Iter 17; 202.466961 ms
Iter 18; 184.597916 ms
Iter 19; 185.043547 ms
Iter 20; 189.563214 ms
Iter 21; 198.352066 ms
Iter 22; 202.293732 ms
Iter 23; 290.047789 ms
Iter 24; 217.041363 ms
Iter 25; 206.990148 ms
Iter 26; 223.476682 ms
Iter 27; 730.350294 ms
Iter 28; 211.069205 ms
Iter 29; 207.201049 ms
Init; 37847.235134 ms
Iter 0; 859.621584 ms
Iter 1; 257.344107 ms
Iter 2; 198.482835 ms
Iter 3; 214.394623 ms
Iter 4; 171.582839 ms
Iter 5; 173.325974 ms
Iter 6; 179.87346 ms
Iter 7; 248.511486 ms
Iter 8; 183.975847 ms
Iter 9; 195.534109 ms
Iter 10; 184.33608 ms
Iter 11; 174.837273 ms
Iter 12; 164.759769 ms
Iter 13; 175.39026 ms
Iter 14; 184.124471 ms
Iter 15; 359.88482 ms
Iter 16; 178.748615 ms
Iter 17; 182.11419 ms
Iter 18; 176.198935 ms
Iter 19; 177.616007 ms
Iter 20; 186.093868 ms
Iter 21; 195.178636 ms
Iter 22; 187.845471 ms
Iter 23; 201.247974 ms
Iter 24; 201.700184 ms
Iter 25; 201.208173 ms
Iter 26; 216.368784 ms
Iter 27; 214.704661 ms
Iter 28; 220.01874 ms
Iter 29; 214.059868 ms
Init; 38217.877143 ms
Iter 0; 808.073004 ms
Iter 1; 224.499385 ms
Iter 2; 190.153354 ms
Iter 3; 229.322532 ms
Iter 4; 172.374844 ms
Iter 5; 156.181303 ms
Iter 6; 178.853691 ms
Iter 7; 243.219194 ms
Iter 8; 166.270447 ms
Iter 9; 175.614872 ms
Iter 10; 174.134707 ms
Iter 11; 175.252398 ms
Iter 12; 191.688542 ms
Iter 13; 172.679791 ms
Iter 14; 168.208108 ms
Iter 15; 353.811898 ms
Iter 16; 176.220081 ms
Iter 17; 182.035338 ms
Iter 18; 181.416899 ms
Iter 19; 187.292846 ms
Iter 20; 179.33571 ms
Iter 21; 183.091318 ms
Iter 22; 190.411723 ms
Iter 23; 194.830292 ms
Iter 24; 192.372792 ms
Iter 25; 190.947174 ms
Iter 26; 200.961178 ms
Iter 27; 204.542582 ms
Iter 28; 222.102554 ms
Iter 29; 713.96565 ms
