Init; 38217.287999 ms
Iter 0; 788.472674 ms
Iter 1; 225.346284 ms
Iter 2; 223.083905 ms
Iter 3; 260.723746 ms
Iter 4; 193.243885 ms
Iter 5; 187.746913 ms
Iter 6; 179.366227 ms
Iter 7; 256.963614 ms
Iter 8; 164.8795 ms
Iter 9; 174.473819 ms
Iter 10; 171.403829 ms
Iter 11; 173.361756 ms
Iter 12; 184.23448 ms
Iter 13; 187.213556 ms
Iter 14; 164.088369 ms
Iter 15; 361.74741 ms
Iter 16; 173.908336 ms
Iter 17; 173.34577 ms
Iter 18; 176.456643 ms
Iter 19; 199.115392 ms
Iter 20; 185.548505 ms
Iter 21; 188.769667 ms
Iter 22; 186.962058 ms
Iter 23; 194.838006 ms
Iter 24; 201.688329 ms
Iter 25; 195.574232 ms
Iter 26; 204.578424 ms
Iter 27; 215.893114 ms
Iter 28; 741.239045 ms
Iter 29; 212.150174 ms
Init; 38072.194351 ms
Iter 0; 883.310733 ms
Iter 1; 244.233641 ms
Iter 2; 204.081553 ms
Iter 3; 232.277153 ms
Iter 4; 181.757554 ms
Iter 5; 170.721562 ms
Iter 6; 186.925225 ms
Iter 7; 258.757399 ms
Iter 8; 186.798316 ms
Iter 9; 185.725499 ms
Iter 10; 180.388988 ms
Iter 11; 175.706415 ms
Iter 12; 181.084665 ms
Iter 13; 173.779952 ms
Iter 14; 167.534224 ms
Iter 15; 365.022251 ms
Iter 16; 181.577684 ms
Iter 17; 177.28994 ms
Iter 18; 177.607848 ms
Iter 19; 181.799313 ms
Iter 20; 186.565496 ms
Iter 21; 188.710568 ms
Iter 22; 195.125586 ms
Iter 23; 196.149953 ms
Iter 24; 199.189061 ms
Iter 25; 191.914658 ms
Iter 26; 203.656726 ms
Iter 27; 209.533074 ms
Iter 28; 718.919403 ms
Iter 29; 196.264821 ms
Init; 38046.400045 ms
Iter 0; 879.480781 ms
Iter 1; 239.873927 ms
Iter 2; 174.209782 ms
Iter 3; 210.917518 ms
Iter 4; 167.44698 ms
Iter 5; 162.252459 ms
Iter 6; 183.760939 ms
Iter 7; 255.355811 ms
Iter 8; 201.48698 ms
Iter 9; 175.320005 ms
Iter 10; 167.522509 ms
Iter 11; 157.987042 ms
Iter 12; 161.561092 ms
Iter 13; 177.562023 ms
Iter 14; 162.852635 ms
Iter 15; 359.731141 ms
Iter 16; 173.826204 ms
Iter 17; 184.631924 ms
Iter 18; 189.195379 ms
Iter 19; 177.739912 ms
Iter 20; 191.671395 ms
Iter 21; 187.555217 ms
Iter 22; 188.174155 ms
Iter 23; 191.527506 ms
Iter 24; 193.581074 ms
Iter 25; 198.108879 ms
Iter 26; 209.011728 ms
Iter 27; 221.868447 ms
Iter 28; 716.346339 ms
Iter 29; 204.969 ms
Init; 37326.906613 ms
Iter 0; 848.643087 ms
Iter 1; 193.96579 ms
Iter 2; 175.664216 ms
Iter 3; 211.256845 ms
Iter 4; 201.300988 ms
Iter 5; 174.199537 ms
Iter 6; 169.188778 ms
Iter 7; 252.30598 ms
Iter 8; 178.580497 ms
Iter 9; 175.187811 ms
Iter 10; 175.72559 ms
Iter 11; 171.49828 ms
Iter 12; 180.446614 ms
Iter 13; 182.886274 ms
Iter 14; 181.495233 ms
Iter 15; 370.428426 ms
Iter 16; 173.681486 ms
Iter 17; 181.855384 ms
Iter 18; 185.235853 ms
Iter 19; 181.151194 ms
Iter 20; 191.96905 ms
Iter 21; 192.408791 ms
Iter 22; 183.510993 ms
Iter 23; 205.701017 ms
Iter 24; 196.253269 ms
Iter 25; 189.685151 ms
Iter 26; 199.598854 ms
Iter 27; 209.388306 ms
Iter 28; 706.067316 ms
Iter 29; 200.39428 ms
Init; 37633.56712 ms
Iter 0; 793.446722 ms
Iter 1; 202.660469 ms
Iter 2; 177.807538 ms
Iter 3; 210.149873 ms
Iter 4; 224.14367 ms
Iter 5; 171.734546 ms
Iter 6; 174.365737 ms
Iter 7; 255.649063 ms
Iter 8; 171.593886 ms
Iter 9; 177.291059 ms
Iter 10; 175.746248 ms
Iter 11; 181.76143 ms
Iter 12; 186.111853 ms
Iter 13; 190.543164 ms
Iter 14; 180.67628 ms
Iter 15; 369.235323 ms
Iter 16; 174.557377 ms
Iter 17; 182.422081 ms
Iter 18; 179.200799 ms
Iter 19; 181.26207 ms
Iter 20; 186.162973 ms
Iter 21; 199.812438 ms
Iter 22; 209.884983 ms
Iter 23; 231.675613 ms
Iter 24; 196.746157 ms
Iter 25; 196.262817 ms
Iter 26; 207.167762 ms
Iter 27; 212.747384 ms
Iter 28; 724.716331 ms
Iter 29; 212.697634 ms
