Init; 37686.719534 ms
Iter 0; 1477.962104 ms
Iter 1; 853.805058 ms
Iter 2; 416.807654 ms
Iter 3; 827.078926 ms
Iter 4; 422.318897 ms
Iter 5; 634.065881 ms
Iter 6; 439.702594 ms
Iter 7; 864.544713 ms
Iter 8; 411.871202 ms
Iter 9; 660.206222 ms
Iter 10; 410.305211 ms
Iter 11; 815.267781 ms
Iter 12; 402.013748 ms
Iter 13; 580.931957 ms
Iter 14; 419.262486 ms
Iter 15; 602.640246 ms
Iter 16; 842.193563 ms
Iter 17; 429.134068 ms
Iter 18; 449.728429 ms
Iter 19; 727.882164 ms
Iter 20; 439.680325 ms
Iter 21; 449.056329 ms
Iter 22; 864.772692 ms
Iter 23; 423.585378 ms
Iter 24; 437.826554 ms
Iter 25; 862.529131 ms
Iter 26; 425.936668 ms
Iter 27; 427.715979 ms
Iter 28; 435.777103 ms
Iter 29; 927.950871 ms
Init; 37458.976062 ms
Iter 0; 1594.70584 ms
Iter 1; 806.540231 ms
Iter 2; 431.726463 ms
Iter 3; 803.288658 ms
Iter 4; 424.436265 ms
Iter 5; 725.719096 ms
Iter 6; 781.286676 ms
Iter 7; 484.25181 ms
Iter 8; 439.376641 ms
Iter 9; 689.798717 ms
Iter 10; 443.330999 ms
Iter 11; 821.670336 ms
Iter 12; 441.160105 ms
Iter 13; 639.118697 ms
Iter 14; 415.657843 ms
Iter 15; 593.630037 ms
Iter 16; 845.847063 ms
Iter 17; 423.815782 ms
Iter 18; 432.425487 ms
Iter 19; 699.370809 ms
Iter 20; 416.294137 ms
Iter 21; 429.689569 ms
Iter 22; 860.722036 ms
Iter 23; 427.413312 ms
Iter 24; 459.645211 ms
Iter 25; 836.354293 ms
Iter 26; 438.862172 ms
Iter 27; 442.860949 ms
Iter 28; 933.169433 ms
Iter 29; 452.270273 ms
Init; 38596.318127 ms
Iter 0; 1420.692067 ms
Iter 1; 817.139887 ms
Iter 2; 423.243121 ms
Iter 3; 803.064579 ms
Iter 4; 398.62551 ms
Iter 5; 745.429419 ms
Iter 6; 419.117047 ms
Iter 7; 847.299461 ms
Iter 8; 421.032725 ms
Iter 9; 632.085163 ms
Iter 10; 403.624892 ms
Iter 11; 775.815142 ms
Iter 12; 404.32482 ms
Iter 13; 593.130796 ms
Iter 14; 409.800282 ms
Iter 15; 581.439764 ms
Iter 16; 847.1205 ms
Iter 17; 409.265252 ms
Iter 18; 397.33832 ms
Iter 19; 741.073806 ms
Iter 20; 403.889311 ms
Iter 21; 407.221915 ms
Iter 22; 903.100133 ms
Iter 23; 413.692915 ms
Iter 24; 410.65614 ms
Iter 25; 875.877066 ms
Iter 26; 417.939749 ms
Iter 27; 421.679713 ms
Iter 28; 414.909483 ms
Iter 29; 930.81742 ms
Init; 38136.179431 ms
Iter 0; 1701.359821 ms
Iter 1; 1130.663357 ms
Iter 2; 450.109052 ms
Iter 3; 1111.480803 ms
Iter 4; 459.663784 ms
Iter 5; 985.084562 ms
Iter 6; 471.126309 ms
Iter 7; 1166.65756 ms
Iter 8; 456.502886 ms
Iter 9; 764.083808 ms
Iter 10; 467.6294 ms
Iter 11; 1109.612403 ms
Iter 12; 476.815664 ms
Iter 13; 462.519754 ms
Iter 14; 938.985261 ms
Iter 15; 643.293512 ms
Iter 16; 1120.049571 ms
Iter 17; 457.409145 ms
Iter 18; 449.900489 ms
Iter 19; 459.445628 ms
Iter 20; 1106.039965 ms
Iter 21; 481.695966 ms
Iter 22; 481.021267 ms
Iter 23; 1113.74378 ms
Iter 24; 471.497815 ms
Iter 25; 468.322775 ms
Iter 26; 485.953265 ms
Iter 27; 1007.467358 ms
Iter 28; 478.829297 ms
Iter 29; 490.490035 ms
Init; 38664.259548 ms
Iter 0; 1540.87337 ms
Iter 1; 967.948256 ms
Iter 2; 414.896898 ms
Iter 3; 778.911568 ms
Iter 4; 432.481036 ms
Iter 5; 729.178994 ms
Iter 6; 809.767498 ms
Iter 7; 492.430183 ms
Iter 8; 420.147505 ms
Iter 9; 692.458441 ms
Iter 10; 410.086051 ms
Iter 11; 771.803068 ms
Iter 12; 400.443717 ms
Iter 13; 554.949396 ms
Iter 14; 404.615309 ms
Iter 15; 571.65778 ms
Iter 16; 847.4066 ms
Iter 17; 426.527986 ms
Iter 18; 428.755273 ms
Iter 19; 714.274918 ms
Iter 20; 435.218457 ms
Iter 21; 443.152303 ms
Iter 22; 907.624508 ms
Iter 23; 444.732728 ms
Iter 24; 422.554722 ms
Iter 25; 850.823684 ms
Iter 26; 452.487275 ms
Iter 27; 435.980301 ms
Iter 28; 934.575674 ms
Iter 29; 432.345447 ms
